sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
BLK,2026-04-01,1.337,gap_1_2,PMH,early,09:33,0.61,SL,-0.5,-0.562,-0.904,-0.217,-0.582,0,,
BLK,2026-04-14,2.591,gap_2plus,PMH,early,09:39,1.77,SL,-0.5,0.09,0.069,0.812,0.379,1,SL,-0.5
BLK,2026-04-17,1.329,gap_1_2,PMH,early,09:35,1.33,TP,1.0,0.739,1.252,1.973,2.071,1,TP,1.0
BLK,2026-04-22,1.092,gap_1_2,PMH,early,09:37,0.69,EOD,0.4892,0.36,0.092,-0.005,-0.042,1,EOD,0.4816
BLK,2026-06-09,1.148,gap_1_2,PMH,early,09:37,1.01,SL,-0.5,0.982,0.277,-0.542,-0.863,1,SL,-0.5
BLK,2026-06-12,1.138,gap_1_2,PDH,early,09:31,0.91,TP,1.0,0.05,0.715,1.058,0.121,0,,
BLK,2026-06-15,1.701,gap_1_2,PDH,mid,10:36,0.73,TP,1.0,0.056,0.493,0.847,0.939,1,TP,1.0
CAT,2025-12-18,1.173,gap_1_2,PMH,early,09:57,0.64,SL,-0.5,0.35,0.101,-0.423,-0.542,1,SL,-0.5
CAT,2025-12-19,1.218,gap_1_2,PMH,early,09:31,1.18,TP,1.0,1.241,0.775,0.375,0.025,0,,
CAT,2026-01-29,1.812,gap_1_2,PDH,mid,11:08,2.04,TP,1.0,2.631,2.841,2.903,1.795,0,,
CAT,2026-02-11,2.22,gap_2plus,PMH,mid,10:21,1.46,TP,1.0,-0.109,1.604,1.42,0.767,1,TP,1.0
CAT,2026-03-04,2.012,gap_2plus,PMH,early,09:37,0.93,SL,-0.5,0.278,0.517,0.524,0.256,0,,
CAT,2026-03-10,1.105,gap_1_2,PMH,early,09:31,1.01,SL,-0.5,-0.069,0.444,1.437,0.778,1,TP,1.0
CAT,2026-03-16,1.634,gap_1_2,PDH,early,09:31,0.71,SL,-0.5,0.031,-0.525,-0.767,-1.333,0,,
CAT,2026-03-23,2.719,gap_2plus,PMH,early,09:42,0.99,TP,1.0,0.78,0.492,0.173,-1.019,1,TP,1.0
CAT,2026-03-25,1.482,gap_1_2,PDH,early,09:45,0.6,SL,-0.5,0.211,0.657,0.211,-0.044,1,SL,-0.5
CAT,2026-03-30,1.032,gap_1_2,PMH,early,09:33,0.98,SL,-0.5,-3.177,-3.37,-3.304,-4.158,0,,
CAT,2026-03-31,1.847,gap_1_2,PMH,early,09:33,1.05,SL,-0.5,1.299,1.431,0.612,0.784,1,TP,1.0
CAT,2026-04-08,5.536,gap_2plus,PMH,early,09:32,1.38,TP,1.0,0.299,-0.438,0.011,0.254,1,SL,-0.5
CAT,2026-04-17,1.104,gap_1_2,PMH,mid,10:07,1.23,TP,1.0,0.379,0.176,1.15,1.119,1,TP,1.0
CAT,2026-04-30,5.325,gap_2plus,PMH,early,09:34,2.37,TP,1.0,1.651,2.175,2.658,2.59,1,SL,-0.5
CAT,2026-05-05,1.537,gap_1_2,PDH,early,09:39,1.1,TP,1.0,1.168,1.215,0.785,0.697,1,TP,1.0
CAT,2026-05-08,1.717,gap_1_2,PMH,early,09:42,0.84,SL,-0.5,-0.813,-1.096,-1.302,-1.154,0,,
CAT,2026-05-20,1.259,gap_1_2,PDH,mid,10:31,0.91,SL,-0.5,-0.09,0.256,0.371,0.514,1,SL,-0.5
CAT,2026-05-22,1.417,gap_1_2,PDH,early,09:45,0.86,TP,1.0,0.773,1.402,1.665,1.752,1,TP,1.0
