symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
AAPL,2026-01-16 17:50:00+00:00,2026-01-16 18:03:00+00:00,255.115,255.37011499999997,0.2,1.0451472901948535,expanded,win
AAPL,2026-01-16 18:17:00+00:00,2026-01-16 18:25:00+00:00,255.7006,255.57274970000003,-0.1,1.0058035467969142,expanded,loss
AAPL,2026-01-16 18:45:00+00:00,2026-01-16 18:57:00+00:00,256.69,256.56165500000003,-0.1,1.0323060029721176,expanded,loss
AAPL,2026-01-16 20:50:00+00:00,2026-01-16 20:54:00+00:00,255.565,255.4372175,-0.1,1.2050379984247332,expanded,loss
AAPL,2026-01-16 21:52:00+00:00,2026-01-16 22:13:00+00:00,255.2,255.45519999999996,0.2,1.328809602514528,expanded,win
AAPL,2026-01-20 11:41:00+00:00,2026-01-20 12:04:00+00:00,252.28,252.15386,-0.1,1.3460282349337385,expanded,loss
AAPL,2026-01-20 13:00:00+00:00,2026-01-20 13:02:00+00:00,252.46,252.33377000000002,-0.2,1.5658094691125335,core,loss
AAPL,2026-01-20 13:09:00+00:00,2026-01-20 13:12:00+00:00,252.6001,252.47379995,-0.2,1.4871926266939106,core,loss
AAPL,2026-01-20 13:34:00+00:00,2026-01-20 13:36:00+00:00,251.71,251.96170999999998,0.2,0.6701099896307184,expanded,win
AAPL,2026-01-20 14:06:00+00:00,2026-01-20 14:18:00+00:00,251.8599,251.73397005,-0.1,1.3268621694919116,expanded,loss
AAPL,2026-01-20 14:49:00+00:00,2026-01-20 14:50:00+00:00,252.21,252.46220999999997,0.2,0.6476713172315752,expanded,win
AAPL,2026-01-20 14:53:00+00:00,2026-01-20 14:57:00+00:00,252.32,252.57231999999996,0.2,0.6250595685664856,expanded,win
AAPL,2026-01-20 15:16:00+00:00,2026-01-20 15:17:00+00:00,251.1099,251.36100989999997,0.2,0.7094806897307222,expanded,win
AAPL,2026-01-20 15:52:00+00:00,2026-01-20 15:56:00+00:00,251.165,251.0394175,-0.1,0.7617574824849347,expanded,loss
AAPL,2026-01-20 16:26:00+00:00,2026-01-20 16:28:00+00:00,250.84,251.09084,0.2,0.779744717550193,expanded,win
AAPL,2026-01-20 18:29:00+00:00,2026-01-20 18:33:00+00:00,249.195,249.0704025,-0.1,0.7482526624289,expanded,loss
AAPL,2026-01-20 19:00:00+00:00,2026-01-20 19:04:00+00:00,248.56,248.80855999999997,0.2,0.8504698296676194,expanded,win
AAPL,2026-01-20 20:06:00+00:00,2026-01-20 20:18:00+00:00,246.91,247.15690999999998,0.2,0.6313813070378496,expanded,win
AAPL,2026-01-20 20:29:00+00:00,2026-01-20 20:30:00+00:00,245.46,245.33727000000002,-0.1,1.3613578290695982,expanded,loss
AAPL,2026-01-20 23:52:00+00:00,2026-01-21 00:24:00+00:00,246.81,247.05680999999998,0.2,0.8694587824212816,expanded,win
AAPL,2026-01-21 00:58:00+00:00,2026-01-21 09:00:00+00:00,247.4641,247.71156409999998,0.2,0.7336491325939618,expanded,win
AAPL,2026-01-21 09:23:00+00:00,2026-01-21 09:32:00+00:00,246.44,246.68643999999998,0.2,0.7037641938768393,expanded,win
AAPL,2026-01-21 11:49:00+00:00,2026-01-21 11:56:00+00:00,245.14,245.01743,-0.1,1.015580566232997,expanded,loss
AAPL,2026-01-21 13:01:00+00:00,2026-01-21 13:02:00+00:00,247.07,247.31706999999997,0.2,0.6959416244034606,expanded,win
