symbol,date,direction,tp,sl,pnl
SPY,2025-12-09,short,0.005,0.005,-0.0019757928783643696
SPY,2025-12-09,short,0.0075,0.0025,-0.0019757928783643696
SPY,2025-12-09,short,0.0075,0.004,-0.0019757928783643696
SPY,2025-12-09,short,0.0075,0.005,-0.0019757928783643696
SPY,2025-12-09,short,0.0025,0.0025,-0.0025
SPY,2025-12-09,short,0.0025,0.004,-0.0025195880914244536
SPY,2025-12-09,short,0.0025,0.005,-0.0025195880914244536
SPY,2025-12-09,short,0.005,0.0025,-0.0025
SPY,2025-12-09,short,0.005,0.004,-0.0025195880914244536
SPY,2025-12-09,short,0.005,0.005,-0.0025195880914244536
SPY,2025-12-09,short,0.0075,0.0025,-0.0025
SPY,2025-12-09,short,0.0075,0.004,-0.0025195880914244536
SPY,2025-12-09,short,0.0075,0.005,-0.0025195880914244536
SPY,2025-12-09,short,0.0025,0.0025,-0.0025
SPY,2025-12-09,short,0.0025,0.004,-0.0034998828491096335
SPY,2025-12-09,short,0.0025,0.005,-0.0034998828491096335
SPY,2025-12-09,short,0.005,0.0025,-0.0025
