date,side,level,gap_regime,gap_pct,entry,bar_idx,ep,bars_waited,conf_close,mfe15,mfe30,mfe60,hit_>=0.40%,hit_>=0.50%,hit_>=0.60%,hit_>=0.75%
2026-02-05,long,PML,Gap Down,-0.988,A,142,601.57,0,601.55,0.12301145336368093,0.12301145336368093,0.24602290672738075,False,False,False,False
2026-02-05,long,PML,Gap Down,-0.988,B,145,602.06,3,601.55,0.006643856094089843,0.0647775969172674,0.16443543832840732,False,False,False,False
2026-02-05,long,PML,Gap Down,-0.988,C,145,602.06,3,601.55,0.006643856094089843,0.0647775969172674,0.16443543832840732,False,False,False,False
2026-02-05,long,PDL,Gap Down,-0.988,A,145,602.06,0,602.04,0.006643856094089843,0.0647775969172674,0.16443543832840732,False,False,False,False
2026-02-05,short,PMH,Gap Down,-0.988,A,27,600.9575,0,600.89,0.8582137671965201,1.004646751226172,1.004646751226172,True,True,True,True
2026-02-05,short,PMH,Gap Down,-0.988,B,28,600.46,1,600.89,0.8959797488592072,0.9226259867435095,0.9226259867435095,True,True,True,True
2026-02-05,short,PMH,Gap Down,-0.988,C,28,600.46,1,600.89,0.09492722246276793,0.09492722246276793,0.09492722246276793,False,False,False,False
2026-02-06,long,PML,Flat,0.43,A,41,602.29,0,602.27,0.239087482774088,0.38851715950788357,0.6110013448671012,True,True,True,False
2026-02-06,long,PML,Flat,0.43,B,51,603.13,10,602.27,0.2055941505148159,0.3216553645151219,0.6167824515444477,True,True,True,False
2026-02-06,long,PML,Flat,0.43,C,56,603.66,15,602.27,0.16068647914389347,0.23357519133288307,0.5284431633701181,True,True,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,A,15,604.33,0,604.32,0.2118048086310414,0.2118048086310414,0.2118048086310414,False,False,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,B,18,604.605,3,604.32,0.16622422904210113,0.16622422904210113,0.16622422904210113,False,False,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,C,18,604.605,3,604.32,0.16622422904210113,0.16622422904210113,0.16622422904210113,False,False,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,A,92,604.28,0,604.27,0.32269808697955343,0.42529953001920473,0.4881842854306026,True,False,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,B,93,604.79,1,604.27,0.2380991749202293,0.348881429917825,0.4034458241703822,True,False,False,False
2026-02-06,long,1H/4H_Sup,Flat,0.43,C,96,605.37,4,604.27,0.24447858334572548,0.29733881758262787,0.30725011150205883,False,False,False,False
2026-02-06,short,PMH,Flat,0.43,A,44,600.43,0,600.44,0.10992122312342292,0.10992122312342292,0.10992122312342292,False,False,False,False
2026-02-06,short,PDH,Flat,0.43,A,25,603.15,0,603.17,0.4990466716405522,0.5603912791179633,0.5603912791179633,True,True,False,False
2026-02-06,short,PDH,Flat,0.43,B,26,602.58,1,603.17,0.404925487072265,0.4663281224069931,0.4663281224069931,True,False,False,False
2026-02-06,short,PDH,Flat,0.43,C,30,602.21,5,603.17,0.1012935686886657,0.28893575330864796,0.47491738762226027,True,False,False,False
2026-02-06,short,PDH,Flat,0.43,A,80,602.67,0,602.69,0.17090613436872132,0.17090613436872132,0.17090613436872132,False,False,False,False
2026-02-06,short,PDH,Flat,0.43,B,82,602.31,2,602.69,0.11123839883115991,0.11123839883115991,0.11123839883115991,False,False,False,False
2026-02-06,short,PDH,Flat,0.43,C,82,602.31,2,602.69,0.5877372117348338,0.7537646726768736,0.816855107834848,True,True,True,True
2026-02-10,long,PML,Flat,0.117,A,25,615.57,0,615.6,0.235554039345636,0.235554039345636,0.235554039345636,False,False,False,False
2026-02-10,long,PML,Flat,0.117,B,27,615.875,2,615.6,0.18591434950273705,0.18591434950273705,0.18591434950273705,False,False,False,False
2026-02-10,long,PML,Flat,0.117,C,27,615.875,2,615.6,0.18591434950273705,0.18591434950273705,0.18591434950273705,False,False,False,False
