direction,window,tp1,runner,stop,n,wr,pf,ev,total,max_dd,worst_streak
BOTH,9:30-11:00,0.60%,1.50%,0.40%,76,0.3815789473684211,0.8481268360925439,-0.00037013820012156087,-0.028130503209238628,-0.07074010425661421,11
BOTH,9:30-11:00,0.50%,1.50%,0.30%,76,0.39473684210526316,0.8349102289959714,-0.0003311744558038155,-0.025169258641089976,-0.049377920371337494,8
BOTH,9:30-12:00,0.60%,2.00%,0.30%,90,0.3333333333333333,0.8303373045175917,-0.0003700956066090381,-0.033308604594813426,-0.07012579063299755,11
BOTH,9:30-11:00,0.60%,1.50%,0.30%,76,0.34210526315789475,0.8290565781904409,-0.00037127801187828975,-0.02821712890275002,-0.0558906125133042,11
BOTH,9:30-10:00,0.40%,1.50%,0.50%,46,0.5217391304347826,0.825936618036112,-0.00039839396389976305,-0.0183261223393891,-0.04474317450421431,6
BOTH,9:30-12:00,0.50%,2.00%,0.30%,90,0.37777777777777777,0.8243964478088734,-0.0003584526037017044,-0.03226073433315339,-0.0655779203713375,8
BOTH,9:30-11:00,0.50%,2.00%,0.50%,76,0.4473684210526316,0.8237199069679645,-0.0004503920888558174,-0.03422979875304212,-0.07039081954752271,8
BOTH,9:30-10:00,0.40%,1.00%,0.40%,46,0.5,0.8189463727491584,-0.0003608642462645195,-0.016599755328167896,-0.04150309023923687,6
BOTH,9:30-10:00,0.40%,1.00%,0.30%,46,0.43478260869565216,0.8099922456872439,-0.00035841963548629695,-0.01648730323236966,-0.03839063814343862,6
BOTH,9:30-10:00,0.50%,1.00%,0.50%,46,0.4782608695652174,0.8048805600357672,-0.0004782234535522428,-0.021998278863403168,-0.05140161377447214,6
BOTH,9:30-12:00,0.50%,2.00%,0.40%,90,0.4111111111111111,0.7993171005052301,-0.0004679703222000386,-0.042117328998003474,-0.08449088980866779,8
BOTH,9:30-11:00,0.50%,1.50%,0.40%,76,0.42105263157894735,0.7987188917773378,-0.00046086649086763245,-0.03502585330594007,-0.06623545435331565,8
BOTH,9:30-10:30,0.60%,2.00%,0.40%,67,0.34328358208955223,0.7908325356525471,-0.0005508220884724493,-0.0369050799276541,-0.07012213209247928,11
BOTH,9:30-11:00,0.40%,2.00%,0.40%,76,0.4473684210526316,0.7889220424696218,-0.0004653607109958188,-0.03536741403568223,-0.06257701508305784,8
BOTH,9:30-12:00,0.60%,1.50%,0.40%,90,0.37777777777777777,0.7841406990738853,-0.0005302442100144672,-0.047721978901302045,-0.08999553971196633,11
BOTH,9:30-11:00,0.60%,1.50%,0.50%,76,0.39473684210526316,0.7768483492310544,-0.0006102342475969336,-0.046377802817366955,-0.07898740386474257,11
BOTH,9:30-11:00,0.50%,1.00%,0.30%,76,0.39473684210526316,0.7760725952280748,-0.000449204308443153,-0.034139527441679626,-0.05081301105223379,8
BOTH,9:30-12:00,0.60%,2.00%,0.50%,90,0.3888888888888889,0.7756362734746678,-0.0006274364278825596,-0.05646927850943036,-0.10174283932009465,11
BOTH,9:30-11:00,0.40%,1.50%,0.30%,76,0.40789473684210525,0.7707653705194162,-0.0004495955084353945,-0.03416925864108998,-0.05484274225164418,8
BOTH,9:30-11:00,0.60%,1.00%,0.30%,76,0.34210526315789475,0.7688904310863474,-0.0005019549764711184,-0.03814857821180499,-0.05832206182235915,11
BOTH,9:30-11:00,0.60%,1.00%,0.40%,76,0.3815789473684211,0.7675137581314916,-0.0005666046383986,-0.0430619525182936,-0.07324973283005375,11
BOTH,9:30-12:00,0.60%,1.50%,0.30%,90,0.3333333333333333,0.7666665587950184,-0.0005089844954979271,-0.04580860459481344,-0.07268208820536765,11
BOTH,9:30-12:00,0.40%,2.00%,0.30%,90,0.3888888888888889,0.7600803798512734,-0.00048067482592392647,-0.04326073433315338,-0.0696342179437076,8
BOTH,9:30-12:00,0.50%,1.50%,0.30%,90,0.37777777777777777,0.7563557026813423,-0.0004973414925905932,-0.04476073433315339,-0.0676342179437076,8
BOTH,9:30-11:00,0.50%,1.50%,0.50%,76,0.4473684210526316,0.7464713839907289,-0.0006477605099084491,-0.04922979875304213,-0.07043939980041773,8
BOTH,9:30-10:00,0.40%,1.00%,0.50%,46,0.5217391304347826,0.7450724618972029,-0.0005834747737640287,-0.026839839593145322,-0.04474317450421431,6
BOTH,9:30-10:30,0.60%,2.00%,0.30%,67,0.29850746268656714,0.7379855494445293,-0.0006056329689546195,-0.04057740891995951,-0.059794461084784686,11
BOTH,9:30-11:00,0.40%,2.00%,0.50%,76,0.47368421052631576,0.7345150421508965,-0.0006522547300366355,-0.0495713594827843,-0.06932865092020478,8
BOTH,9:30-11:00,0.50%,1.00%,0.40%,76,0.42105263157894735,0.7328033408947281,-0.0006117910803490754,-0.04649612210652972,-0.06778390241828988,8
BOTH,9:30-12:00,0.50%,2.00%,0.50%,90,0.43333333333333335,0.729781039691652,-0.0007146808271678391,-0.06432127444510552,-0.09469483525576984,8
BOTH,9:30-12:00,0.50%,1.50%,0.40%,90,0.4111111111111111,0.7278442990708315,-0.0006346369888667054,-0.05711732899800348,-0.08699088980866779,8
BOTH,9:30-10:30,0.60%,2.00%,0.50%,67,0.3582089552238806,0.7265655148536246,-0.0008082444706833199,-0.05415237953578243,-0.07686413990260843,11
BOTH,9:30-12:00,0.60%,1.00%,0.30%,90,0.3333333333333333,0.7249219342240053,-0.0006000445963017455,-0.0540040136671571,-0.07337749727771128,11
BOTH,9:30-12:00,0.60%,1.00%,0.40%,90,0.37777777777777777,0.7244543272308159,-0.0006768598663738414,-0.06091738797364572,-0.09250516828540586,11
BOTH,9:30-10:30,0.50%,2.00%,0.30%,67,0.34328358208955223,0.721748652833828,-0.0006049184874373058,-0.04052953865829949,-0.05324659082312466,8
BOTH,9:30-12:00,0.50%,1.00%,0.30%,90,0.37777777777777777,0.7169779185286101,-0.0005777218099670195,-0.05199496289703175,-0.06736844650758592,8
BOTH,9:30-11:00,0.40%,1.50%,0.40%,76,0.4473684210526316,0.7143201938168546,-0.0006298343952063452,-0.04786741403568224,-0.0651247054731027,8
BOTH,9:30-11:00,0.40%,1.00%,0.30%,76,0.40789473684210525,0.7105856555761243,-0.000567625361074732,-0.04313952744167963,-0.0563130110522338,8
