symbol,date,entry_time,score,support,touches,entry_price,mfe,mae,pnl
NVDA,2026-05-01,2026-05-01 13:32:00+00:00,14,200.99,79,202.610514,0.001922338541621809,-0.01712899262473619,-0.011527111569343284
NVDA,2026-05-04,2026-05-04 13:34:00+00:00,13,199.06,78,199.869966,0.009306220625463981,-0.01120711653095498,-0.007854937044418139
NVDA,2026-05-27,2026-05-27 11:02:00+00:00,13,215.73,69,216.198231,0.0008407515600810015,-0.0006393715589652093,-0.00036184847414402836
NVDA,2026-05-28,2026-05-28 13:36:00+00:00,13,211.72,44,213.652722,0.0027955553030585244,-0.009139701014434174,-0.002259376784350184
NVDA,2026-06-10,2026-06-10 13:33:00+00:00,13,205.0934,48,206.331258,0.00430735511727461,-0.0074698231132773844,-0.0038106586836203155
NFLX,2025-12-17,2025-12-17 14:34:00+00:00,13,96.03,75,97.0604082,0.002262424031305521,-0.013294897723292304,-0.00021026287008744972
NFLX,2026-01-13,2026-01-13 14:32:00+00:00,13,89.52,79,90.22804199999999,0.008555632848599466,-0.0043006807129870395,0.0006866823065939788
NFLX,2026-01-20,2026-01-20 14:40:00+00:00,13,89.23,57,89.902977,-3.3113475207849226e-05,-0.015382994491940027,-0.014051559160271213
NFLX,2026-01-23,2026-01-23 14:32:00+00:00,13,83.51,80,84.4758918,0.008808527310510138,-0.0049232010593583,0.008804976001449015
NFLX,2026-02-06,2026-02-06 19:32:00+00:00,13,81.21,63,81.98639399999999,4.398290770057387e-05,-0.009835705178105324,-0.009042890702083878
NFLX,2026-02-09,2026-02-09 13:05:00+00:00,11,82.21,46,82.476492,0.0007700133511984603,-0.007717253541772726,-0.0015336733768938542
NFLX,2026-02-24,2026-02-24 13:08:00+00:00,12,76.24,79,76.455288,0.00019242619294041434,-0.003339049615508519,-0.0022926864130051383
NFLX,2026-02-27,2026-02-27 17:33:00+00:00,13,93.35,41,93.91847994,0.013432074931429191,-0.0005161917018989702,0.012207608776594945
NFLX,2026-03-02,2026-03-02 14:31:00+00:00,12,95.09,51,96.85946802000001,0.009194062265715832,-0.011325356647359433,-0.0012850372043578461
NFLX,2026-03-16,2026-03-16 12:06:00+00:00,11,95.07,80,95.27905200000001,0.0028437310648303884,-0.0021941024350243745,0.0023189567419288847
NFLX,2026-03-17,2026-03-17 13:33:00+00:00,13,95.2,78,95.75154648,0.006145629408950739,-0.001896016165524062,0.0007671262000488271
NFLX,2026-03-27,2026-03-27 13:33:00+00:00,13,94.353,48,95.284053,0.00048221080604115554,-0.024075938499383578,-0.022711596871304324
NFLX,2026-04-17,2026-04-17 14:01:00+00:00,10,97.64,26,97.8185598,0.0022637851186192125,-0.009697135205623812,-0.00821479892612365
NFLX,2026-06-04,2026-06-04 12:04:00+00:00,14,82.51,72,82.81656,0.005233735861523402,-0.00019996000799838044,0.0004037839775040017
