sym,date,gap_pct,gap_bucket,rvol,ret_2h
FCX,2024-12-09,4.042,gap_2plus,1.55,0.1862
FTNT,2022-07-19,2.223,gap_2plus,1.61,-0.9248
FTNT,2023-01-26,3.073,gap_2plus,1.5,-2.014
FTNT,2023-08-10,2.359,gap_2plus,1.61,-1.0896
FTNT,2024-01-22,1.626,gap_1_2,1.74,-0.5701
FTNT,2024-08-06,1.101,gap_1_2,1.81,-0.0356
GE,2022-01-04,2.65,gap_2plus,1.89,0.1993
GE,2022-03-29,1.108,gap_1_2,1.56,0.3319
GE,2022-09-09,1.024,gap_1_2,1.51,-1.1211
GE,2023-06-07,1.099,gap_1_2,1.59,0.9602
GE,2023-07-25,3.772,gap_2plus,4.56,0.0436
GE,2024-03-07,1.594,gap_1_2,2.1,0.2894
GE,2024-03-08,1.817,gap_1_2,3.05,-0.2621
GE,2024-07-23,1.986,gap_1_2,3.84,2.4186
GOOGL,2022-07-27,4.075,gap_2plus,1.59,1.3438
GOOGL,2023-01-20,2.157,gap_2plus,2.5,0.1774
GOOGL,2023-02-02,5.344,gap_2plus,2.0,0.7968
GOOGL,2023-05-11,3.25,gap_2plus,2.65,1.4276
GOOGL,2023-07-13,1.645,gap_1_2,1.69,2.2204
GOOGL,2023-12-20,1.713,gap_1_2,1.77,0.9549
GOOGL,2024-09-09,1.222,gap_1_2,1.83,-3.0016
GOOGL,2024-12-10,4.201,gap_2plus,2.44,-0.963
GS,2022-04-14,1.892,gap_1_2,2.15,-2.8565
GS,2022-06-24,1.666,gap_1_2,1.54,2.8944
GS,2022-07-18,4.117,gap_2plus,2.83,-1.8019
GS,2022-10-17,1.402,gap_1_2,1.53,-1.4886
GS,2022-10-18,4.839,gap_2plus,3.28,-3.1585
GS,2023-06-29,1.251,gap_1_2,1.51,1.7022
GS,2023-09-14,1.133,gap_1_2,1.53,0.4017
GS,2023-10-16,1.252,gap_1_2,1.63,0.6263
GS,2024-04-15,4.456,gap_2plus,3.24,-1.1502
GS,2024-04-17,1.44,gap_1_2,2.11,0.1121
GS,2024-09-19,2.072,gap_2plus,1.53,0.8381
GS,2024-10-15,3.033,gap_2plus,3.24,-1.2107
GS,2024-10-16,1.411,gap_1_2,1.75,-0.2755
HD,2022-09-28,2.393,gap_2plus,1.66,1.3288
HD,2023-02-02,1.611,gap_1_2,1.59,2.031
HD,2023-11-14,4.568,gap_2plus,2.82,1.5743
HD,2023-12-14,1.798,gap_1_2,2.4,0.0456
HD,2024-11-12,1.332,gap_1_2,1.79,-1.7778
HON,2022-04-29,5.295,gap_2plus,2.66,-1.3987
HON,2022-10-26,1.102,gap_1_2,1.57,-0.0786
HON,2022-10-28,1.257,gap_1_2,1.69,1.105
HON,2023-01-06,1.028,gap_1_2,1.52,1.0449
HON,2023-04-27,2.651,gap_2plus,1.6,0.766
HON,2023-06-02,1.309,gap_1_2,1.68,0.8777
HON,2024-04-25,2.457,gap_2plus,1.77,-2.824
HON,2024-10-08,2.623,gap_2plus,2.0,0.8885
HOOD,2022-08-03,1.623,gap_1_2,4.1,9.2796
HOOD,2022-08-04,6.505,gap_2plus,2.71,-4.4749
