symbol,date,score,tp,sl,pnl,exit_type,entry_price,mfe,mae
NVDA,2026-01-06,6,0.005,0.0025,-0.00015863363561845,avg,189.115,0.0006080956032044,0.0009253628744413
NVDA,2026-01-06,6,0.005,0.0025,-0.0025,sl,189.295,0.0009239546739215,0.0152090652156687
NVDA,2026-01-07,6,0.005,0.0025,-0.0025,sl,187.02,0.000587637685809,0.0173778205539514
NVDA,2026-01-08,6,0.005,0.0025,-0.00023704171934254997,avg,189.84,0.0004214075010535,0.0008954909397386
NVDA,2026-01-12,6,0.005,0.0025,-0.0025,sl,184.69,5.414478315009424e-05,0.007553197249445
NVDA,2026-01-12,6,0.005,0.0025,0.0015798211321158997,avg,186.73,0.0043378139559792,0.0011781716917474
NVDA,2026-01-13,6,0.005,0.0025,0.00032439446366785,avg,184.96,0.001189446366782,0.0005406574394463
NVDA,2026-01-14,6,0.005,0.0025,-0.0025,sl,184.03,0.0,0.0029343041895342
NVDA,2026-01-14,6,0.005,0.0025,-0.00010840108401089996,avg,184.5,0.0010840108401083,0.0013008130081301
NVDA,2026-01-14,6,0.005,0.0025,-0.0025,sl,181.69,0.0007980626341571,0.0034674445484066
NVDA,2026-01-14,6,0.005,0.0025,-0.0025,sl,181.7775,0.0012509799067542,0.0025993316004455
NVDA,2026-01-14,6,0.005,0.0025,-0.0025,sl,181.0601,0.0014365395799515,0.0085601410802269
NVDA,2026-01-16,6,0.005,0.0025,-0.0025,sl,188.41,0.000318454434478,0.0107743750331723
NVDA,2026-01-20,7,0.005,0.0025,0.005,tp,181.32,0.0071696448268254,0.0113059783807633
NVDA,2026-01-20,6,0.005,0.0025,-0.0025,sl,179.8946,0.0017488017983863,0.005477651913954
NVDA,2026-01-22,6,0.005,0.0025,-0.0025,sl,184.25,0.0017367706919945,0.00640434192673
NVDA,2026-01-22,6,0.005,0.0025,0.0002970083162329,avg,185.18,0.0028620801382438,0.002268063505778
NVDA,2026-01-22,6,0.005,0.0025,0.0005159118062343,avg,184.14,0.0012490496361463,0.0002172260236777
NVDA,2026-01-23,6,0.005,0.0025,0.005,tp,187.1699,0.0185387714584451,0.0079628188079386
NVDA,2026-01-23,6,0.005,0.0025,-0.0025,sl,187.32,0.0001601537475976,0.0048905616058082
NVDA,2026-01-27,6,0.005,0.0025,-0.0003475006682704,avg,187.05,0.0001069232825448,0.0008019246190856
NVDA,2026-01-27,6,0.005,0.0025,0.005,tp,186.8688,0.0062546556728571,0.0050366888426532
NVDA,2026-01-29,6,0.005,0.0025,-0.0025,sl,191.01,0.0041882623946389,0.0026176639966493
NVDA,2026-01-29,6,0.005,0.0025,0.005,tp,190.76,0.0101698469280771,0.0069196896624031
NVDA,2026-01-29,6,0.005,0.0025,-0.0025,sl,190.215,0.001025155744815,0.0029703230554898
NVDA,2026-01-30,7,0.005,0.0025,0.0009151762367952499,avg,191.22,0.0028239723878254,0.0009936199142349
NVDA,2026-01-30,6,0.005,0.0025,0.0009674214296919001,avg,191.23,0.002876117763949,0.0009412749045652
NVDA,2026-01-30,6,0.005,0.0025,0.0015717504060356,avg,190.87,0.0035102425734794,0.0003667417614082
NVDA,2026-02-02,6,0.005,0.0025,-0.0007118375955707502,avg,189.65,0.0009491167940944,0.0023727919852359
NVDA,2026-02-04,6,0.005,0.0025,0.005,tp,180.66,0.0202590501494519,0.0056459647957489
NVDA,2026-02-04,6,0.005,0.0025,0.005,tp,179.33,0.0129928065577427,0.008195505492667
NVDA,2026-02-04,6,0.005,0.0025,-0.0025,sl,175.05,0.0049128820337047,0.0139960011425306
NVDA,2026-02-05,6,0.005,0.0025,0.005,tp,177.26,0.0054721877468125,0.0
NVDA,2026-02-05,6,0.005,0.0025,-0.0025,sl,174.88,0.0029734675205854,0.0028019213174748
NVDA,2026-02-05,6,0.005,0.0025,0.005,tp,171.03,0.0058469274396304,0.0016371396830965
NVDA,2026-02-06,6,0.005,0.0025,0.00098736176935235,avg,177.24,0.0028774542992553,0.0009027307605506
NVDA,2026-02-06,6,0.005,0.0025,0.00015071810672035,avg,184.4503,0.001709403562911,0.0014079673494703
NVDA,2026-02-06,6,0.005,0.0025,-0.00025730708746809995,avg,184.41,0.0014912423404371,0.0020058565153733
NVDA,2026-02-09,6,0.005,0.0025,-0.0025,sl,183.63,0.0003812013287588,0.0031040679627511
NVDA,2026-02-09,6,0.005,0.0025,0.0015925645510795,avg,191.515,0.0038378194919457,0.0006526903897867
NVDA,2026-02-09,6,0.005,0.0025,0.005,tp,190.92,0.0067567567567567,0.0012046930651582
NVDA,2026-02-10,6,0.005,0.0025,-0.00026182122846519996,avg,190.97,0.0005236424569303,0.0010472849138607
NVDA,2026-02-10,6,0.005,0.0025,0.005,tp,191.4,0.0074712643678161,0.0
NVDA,2026-02-10,6,0.005,0.0025,0.005,tp,190.825,0.0128913926372329,0.0031704441241976
