pnl,result,slack
-25.0,loss,0.8732888807804019
-25.0,loss,0.611673887233606
-25.0,loss,0.6422683079661553
-25.0,loss,0.8485488871849474
100.0,win,0.7799828434000398
-25.0,loss,0.6745419312849198
-25.0,loss,0.8529253951594516
-25.0,loss,0.7222517480063891
-25.0,loss,0.6489549095708956
-25.0,loss,1.1397381450211301
100.0,win,1.757267896329646
-25.0,loss,1.1456530950519346
-25.0,loss,0.7076780696574022
-25.0,loss,0.6985355446036949
-25.0,loss,0.7172071272055243
-25.0,loss,0.9079522268932892
-25.0,loss,2.3287854166136244
-25.0,loss,0.8205576961490327
-25.0,loss,0.6504007889170623
100.0,win,1.2057265323296236
100.0,win,0.8707256672366267
-25.0,loss,0.6419528258740199
100.0,win,0.859365906194477
-25.0,loss,0.6279705220739846
-25.0,loss,0.8962076734020017
-25.0,loss,0.8881842559663973
-25.0,loss,0.8895320773458054
-25.0,loss,1.741339448405293
-25.0,loss,1.1514205116656582
-25.0,loss,0.6994845698608486
100.0,win,1.0600503987479728
100.0,win,0.6520425550560033
100.0,win,0.6623915226777328
-25.0,loss,0.790213884927685
-25.0,loss,0.8425368489052822
100.0,win,1.0056324255952935
-25.0,loss,0.8347210568489991
-25.0,loss,0.7872473197137241
-25.0,loss,0.9950413853350877
100.0,win,4.032300122683958
-25.0,loss,0.6883330365953229
100.0,win,1.1861831378812508
-25.0,loss,0.7708293091087051
-25.0,loss,0.791723734469382
100.0,win,0.8146151457955132
-25.0,loss,0.6607907216995597
-25.0,loss,0.61242171454198
100.0,win,1.0814130023319695
-25.0,loss,0.713825183436687
-25.0,loss,0.605429782204864
-25.0,loss,0.741446965788322
-25.0,loss,1.0825429660789523
-25.0,loss,2.438833572516517
-25.0,loss,0.623344908197895
100.0,win,0.7375416046460538
-25.0,loss,0.7281163777588575
-25.0,loss,0.8922522438817689
-25.0,loss,0.7860652601262599
100.0,win,0.6665893763541683
-25.0,loss,0.6805198834298232
100.0,win,0.6563060537793727
-25.0,loss,0.7303008118790302
100.0,win,0.8527618005269224
-25.0,loss,0.8657664706805722
-25.0,loss,3.951688857551307
-25.0,loss,1.1351603987843835
-25.0,loss,2.552617359881803
-25.0,loss,0.7181244530505633
100.0,win,1.501938819206983
-25.0,loss,0.7298996560689741
-25.0,loss,0.6712546979088861
-25.0,loss,0.6666489936236837
100.0,win,0.8588296481818845
-25.0,loss,0.8349854119709965
-25.0,loss,1.4389740543928666
-25.0,loss,0.7101181568957782
-25.0,loss,1.2830320662045673
-25.0,loss,0.8138873863454534
-25.0,loss,0.967101937206204
-25.0,loss,0.751080079231966
-25.0,loss,1.2982495598953467
100.0,win,0.6916955669523848
-25.0,loss,2.1819389666445135
-25.0,loss,0.8542091331131811
-25.0,loss,0.6397606119751076
-25.0,loss,1.0150049668935117
100.0,win,1.8728150858003856
100.0,win,0.6969778540398185
100.0,win,0.8328003551933288
100.0,win,0.7742727131472137
