date,mfe_15m_long,mfe_30m_long,mfe_60m_long,mfe_15m_short,mfe_30m_short,mfe_60m_short,mfe_60m_best,pm_high_broken,pm_low_broken,pm_high,pm_low,pm_range,pm_vol,pm_open,prev_close,rth_open,gap_pct,pm_vol_ma20,pm_vol_ratio
2026-03-31,0.2488496572447989,0.6276019657557815,0.6276019657557815,0.09860080758758397,0.09860080758758397,0.09860080758758397,0.6276019657557815,True,False,639.82,637.03,0.43796995431927505,13934.0,638.96,631.59,638.94,1.1637296347313957,4802.75,2.9012544896153245
2026-04-01,0.33186517403804355,0.33186517403804355,0.33186517403804355,0.07952529516118888,0.13458126873432363,0.13458126873432363,0.33186517403804355,False,False,656.68,652.32,0.6683836154034676,5723.0,655.7,650.46,653.88,0.5257817544506901,4959.15,1.1540284121270783
2026-04-02,0.16243309303549833,0.5690108598125152,0.7239875003867554,0.20265462083474298,0.20265462083474298,0.20265462083474298,0.7239875003867554,True,False,645.95,644.36,0.24675647153765468,1639.0,644.42,655.31,646.42,-1.356609848773861,4858.6,0.33733997447824476
2026-04-06,0.31256670630926636,0.5885402372457558,0.5885402372457558,0.05184033177812824,0.05184033177812824,0.05184033177812824,0.5885402372457558,True,True,656.27,656.0,0.04115853658536308,331.0,656.27,,655.86,,4489.7,0.0737243022919126
2026-04-07,0.14315302144250344,0.14315302144250344,0.14315302144250344,0.3061038011695893,0.470562256335274,0.7188109161793415,0.7188109161793415,True,True,657.02,653.96,0.4679185271270331,10066.0,655.58,658.78,656.64,-0.3248428914053229,4803.05,2.0957516578007724
2026-04-08,0.10201215275211853,0.10201215275211853,0.10201215275211853,0.24246366741081127,0.3577817531305843,0.38587205606233294,0.38587205606233294,False,True,677.89,675.63,0.33450261237659534,6130.0,677.57,658.89,676.39,2.6559820303844344,4944.45,1.239773887894508
2026-04-09,0.1407592910912152,0.1407592910912152,0.1407592910912152,0.06075514195958773,0.06075514195958773,0.13484677849565554,0.1407592910912152,True,False,674.43,673.67,0.1128148796888671,1581.0,673.67,675.82,674.84,-0.1450090260720337,4923.4,0.3211195515294309
2026-04-10,0.09247027741083158,0.09247027741083158,0.09247027741083158,0.11595479230881603,0.16585938646704765,0.18670189343900404,0.18670189343900404,True,True,681.67,680.38,0.1895999294511837,1545.0,680.38,679.83,681.3,0.21623052822027766,4842.9,0.31902372545375707
2026-04-13,0.07824033067611053,0.3801299084735822,0.3867729554177745,0.12105107764982823,0.12105107764982823,0.12105107764982823,0.3867729554177745,True,False,676.58,674.44,0.31730027874977557,610.0,674.44,,677.4,,4781.05,0.12758703632047352
2026-04-14,0.3308176649362325,0.3308176649362325,0.48859224359811826,0.004362430746424464,0.004362430746424464,0.004362430746424464,0.48859224359811826,True,True,688.83,687.69,0.16577236836365022,2621.0,687.91,685.88,687.69,0.2638945588149617,4760.85,0.5505319428253358
2026-04-15,0.15677588240370965,0.15677588240370965,0.2560193308977897,0.152460949860476,0.152460949860476,0.152460949860476,0.2560193308977897,True,False,694.97,694.18,0.11380333631047818,1341.0,694.33,694.19,695.26,0.15413647560465238,4694.8,0.2856351708272983
