date,side,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,hit_+1.00%
2026-02-11,long,692.6,0.001487149870059094,0.49379151025123774,0.001487149870059094,0.49379151025123774,0.009384926364415375,0.49379151025123774,False,False,False,False
2026-02-12,long,691.22,0.013743815283126543,0.24738867509621196,0.013743815283126543,0.6322155030236399,0.013743815283126543,1.1132490379329374,False,False,False,False
2026-02-12,long,691.145,0.024596864623208266,0.26550145049158086,0.024596864623208266,0.6604981588523307,0.024596864623208266,1.1025182848750992,False,False,False,False
2026-02-12,long,690.72,0.03764188093583375,0.22874681491777288,0.03764188093583375,0.6254343293954208,0.03764188093583375,1.0416666666666738,False,False,False,False
2026-02-13,short,683.24,0.24735085767812987,0.1946607341490605,0.35858556290615967,0.1946607341490605,0.35858556290615967,0.1946607341490605,True,False,False,False
2026-02-13,short,683.77,0.20182225017184074,0.06581160331691147,0.28372113429953655,0.06727408339061913,0.28372113429953655,0.2720212937098752,True,False,False,False
2026-02-13,short,684.05,0.24267231927490215,0.02485198450406736,0.32453767999413985,0.02631386594548113,0.32453767999413985,0.2368247935092471,True,False,False,False
2026-02-17,long,678.48,0.05600754627991915,0.32572809810164427,0.18718311519867672,0.32572809810164427,0.18718311519867672,0.39794835514680543,False,False,False,False
2026-02-17,long,678.53,0.0486345482145286,0.33307296656006236,0.17980045097490566,0.33307296656006236,0.17980045097490566,0.4052879017876881,False,False,False,False
2026-02-17,long,678.38,0.026533801114412274,0.31103511306347675,0.20195170848197244,0.31103511306347675,0.20195170848197244,0.38326601609717603,False,False,False,False
2026-02-17,short,680.93,0.04112023262302626,0.3392419191400084,0.04112023262302626,0.3392419191400084,0.04112023262302626,0.3392419191400084,False,False,False,False
2026-02-17,short,681.05,0.0014683209749637922,0.3215622935173709,0.03523970339916439,0.3215622935173709,0.03523970339916439,0.3215622935173709,False,False,False,False
2026-02-17,short,681.36,0.007338264647186246,0.27591875073382577,0.08072091111894861,0.27591875073382577,0.08072091111894861,0.27591875073382577,False,False,False,False
2026-02-18,short,686.8,0.01456027955735426,0.24242865463018018,0.01456027955735426,0.24242865463018018,0.01456027955735426,0.28028538147933435,False,False,False,False
2026-02-18,short,686.88,0.026205450733745337,0.23075355229443809,0.026205450733745337,0.23075355229443809,0.026205450733745337,0.26860587002096836,False,False,False,False
2026-02-18,short,686.96,0.0,0.21908116920926918,0.0,0.21908116920926918,0.0,0.2569290788401052,False,False,False,False
2026-02-20,short,689.0,0.6981132075471619,0.058055152394771735,0.6981132075471619,0.058055152394771735,0.6981132075471619,0.058055152394771735,True,True,False,False
2026-02-20,short,687.88,0.5364307728092023,0.02907483863465219,0.5364307728092023,0.02907483863465219,0.5364307728092023,0.1977089027155919,True,True,False,False
2026-02-20,short,688.07,0.10464051622655068,0.1598674553460998,0.10464051622655068,0.17004083886813245,0.3168282296859423,0.17004083886813245,True,False,False,False
2026-02-23,long,685.28,0.06274807378007,0.11236282979219907,0.06274807378007,0.21888862946532806,0.06274807378007,0.6457214569227111,False,False,False,False
2026-02-23,long,685.01,0.10218828922206179,0.07299163515861083,0.10218828922206179,0.20001167866162237,0.10218828922206179,0.6102100699259791,False,False,False,False
2026-02-23,long,684.03,0.06871043667675793,0.09648699618437323,0.06871043667675793,0.4641609286142354,0.06871043667675793,0.5349180591494513,False,False,False,False
2026-02-24,short,685.29,0.01751083482905114,0.1783186680091611,0.01751083482905114,0.18313414758715224,0.01751083482905114,0.23055932524917058,False,False,False,False
2026-02-24,short,685.74,0.014582786478843692,0.11257911161663815,0.08166360428151473,0.11739143115465775,0.08166360428151473,0.1647854872108956,False,False,False,False
2026-02-24,short,685.94,0.043735603697126306,0.08338921771581902,0.1107968626993767,0.08820013412250408,0.1107968626993767,0.13558037146105342,False,False,False,False
2026-02-26,long,688.57,0.002904570341429602,0.5562252203842806,0.002904570341429602,0.6128643420422073,0.04792541063362145,0.6128643420422073,False,False,False,False
2026-02-26,long,688.01,0.002892399819771066,0.47528378947980143,0.002892399819771066,0.5319690120783082,0.1424397901193323,0.5319690120783082,False,False,False,False
2026-02-26,long,687.2,0.06402793946448498,0.3579743888242195,0.06402793946448498,0.4147264260768368,0.26047729918509366,0.4147264260768368,True,False,False,False
2026-03-02,short,684.32,0.06575870937573729,0.15197568389057217,0.2586509235445545,0.15197568389057217,0.27764788403087604,0.15197568389057217,True,False,False,False
2026-03-02,short,684.79,0.18983922078300713,0.0832371968048672,0.3460915025044181,0.0832371968048672,0.3460915025044181,0.0832371968048672,True,False,False,False
2026-03-02,short,685.1899,0.11528190943853503,0.07006816650391273,0.3312804231352516,0.07006816650391273,0.3312804231352516,0.25979659069698213,True,False,False,False
2026-03-03,long,672.14,0.26631356562620345,0.07587704942422574,0.26631356562620345,0.36897075014134234,0.26631356562620345,0.36897075014134234,True,False,False,False
2026-03-03,long,671.785,0.01330782914177434,0.3163214421280618,0.10643286170427026,0.3163214421280618,0.6125471691091657,0.3163214421280618,True,True,False,False
2026-03-03,long,671.48,0.058735926609879474,0.2710430690415277,0.1519032584738163,0.2710430690415277,0.6984571394531395,0.2710430690415277,True,True,False,False
2026-03-03,short,675.12,0.05480507169095932,0.2162578504562206,0.06813603507525128,0.2562507406090796,0.06813603507525128,0.4932456452186339,False,False,False,False
2026-03-03,short,675.65,0.09916376822318641,0.13764523051876915,0.14652556797158428,0.4144157477984265,0.14652556797158428,0.4144157477984265,False,False,False,False
2026-03-03,short,676.33,0.24692088181805816,0.03696420386497715,0.24692088181805816,0.31345644877500695,0.24692088181805816,0.3193707213933979,False,False,False,False
2026-03-04,short,683.98,0.007310155267707858,0.3406532354747108,0.014620310535399096,0.3406532354747108,0.014620310535399096,0.38890026024152285,False,False,False,False
2026-03-04,short,684.46,0.027759109370898892,0.2702860649270825,0.08473833386904142,0.2702860649270825,0.08473833386904142,0.31849925488705694,False,False,False,False
2026-03-04,short,684.81,0.0,0.21903885749331933,0.13580409164585067,0.21903885749331933,0.13580409164585067,0.2672274061418556,False,False,False,False
2026-03-05,long,681.0444,0.11241557819137041,0.253199350879318,0.225477222924092,0.253199350879318,0.225477222924092,0.29871767538210503,False,False,False,False
2026-03-05,long,680.99,0.12041292823682231,0.24523120750671218,0.23348360475191002,0.24523120750671218,0.23348360475191002,0.2907531681816206,False,False,False,False
2026-03-05,long,680.815,0.1461483662962612,0.2195897563949097,0.2592481070481682,0.2195897563949097,0.2592481070481682,0.26512341825607005,True,False,False,False
2026-03-06,short,673.78,0.03710409926088634,0.316869007687968,0.19590964409747047,0.316869007687968,0.19590964409747047,0.3309685654071089,False,False,False,False
2026-03-06,short,673.91,0.0563873514267477,0.2975174726595533,0.2151622620231087,0.2975174726595533,0.2151622620231087,0.31161431051624444,False,False,False,False
2026-03-06,short,674.02,0.07269813952108381,0.28114892733153046,0.2314471380671116,0.28114892733153046,0.2314471380671116,0.29524346458562195,False,False,False,False
2026-03-09,long,662.78,0.479797217779665,0.012070370258596705,0.479797217779665,0.058843055010710396,0.8132411961736906,0.058843055010710396,True,True,True,False
2026-03-09,short,667.19,0.046463526131995246,0.16786822344457963,0.046463526131995246,0.3117552721113816,0.046463526131995246,0.4091787946461884,False,False,False,False
2026-03-09,short,667.5,0.06591760299626286,0.1213483146067334,0.06591760299626286,0.27415730337079264,0.06591760299626286,0.36254681647939463,False,False,False,False
2026-03-09,short,667.68,0.09285885454109821,0.14977234603402828,0.09285885454109821,0.24712437095616033,0.09285885454109821,0.33549005511622476,False,False,False,False
2026-03-10,short,678.94,0.048605178660859706,0.23418858809319204,0.048605178660859706,0.4043067134061759,0.048605178660859706,0.4043067134061759,False,False,False,False
2026-03-10,short,679.09,0.01767070638648847,0.22824662415879404,0.01767070638648847,0.38212902560778594,0.01767070638648847,0.38212902560778594,False,False,False,False
