direction,max_fav,final_pnl,level_hit
long,0.15177726278681822,-0.4667558834089522,0.15
short,0.445092322643336,0.445092322643336,0.2
short,0.6288575754046832,0.07763673770427724,0.2
short,0.48979591836734343,-1.0981535471331345,0.2
short,0.35422343324249445,-1.193071233943168,0.2
long,0.8883835658675738,0.6474986510444797,0.2
long,0.5473611431205392,0.33801951294463106,0.2
short,1.15585814293407,-0.5154242634048676,0.2
long,0.35222052067381926,-0.3560490045941833,0.2
long,0.14518224191946033,-0.6953465270879472,0.1
short,0.561227421610141,0.06320991437930562,0.2
short,2.3735453393248096,1.9702730729346682,0.2
short,0.9816524482879443,0.4187604690117209,0.2
long,0.07421295211311528,-0.05468322787281711,0.07
short,0.3325118335093668,0.17994758048742635,0.2
long,0.766055410018261,0.381043105501313,0.2
long,0.32008219394610066,-0.27266260965778777,0.2
long,0.9899421873762573,0.7008790686623941,0.2
short,0.9518543386389654,0.9084087049251596,0.2
long,0.009947279419081143,-0.3461653237839356,
short,0.17805835457894303,-0.748654445388691,0.15
long,0.35465280296618523,0.11687421915930844,0.2
long,2.747441306498176,2.0812725841290356,0.2
long,1.2242139989665664,0.783019992845502,0.2
short,0.0,-0.35700119000396896,
long,0.6476965304792505,0.13822791809008286,0.2
short,0.9526808912684103,0.21651838437918722,0.2
long,0.5428881650380022,0.2941466785115011,0.2
short,0.14307857398355137,-1.9037399149477219,0.1
long,0.36367210536662525,0.2535875761745666,0.2
short,0.4998715744966654,0.19362614348092747,0.2
short,0.2713032457373714,0.05742915420718467,0.2
short,1.1235513651541988,0.8249852681202211,0.2
short,0.5597542739360705,0.3879885220062272,0.2
short,0.22716209638163326,-0.020282330034067396,0.2
long,1.3624532292175022,1.035057751748827,0.2
long,0.2412739263310255,0.142753739745854,0.2
short,0.5513189400189157,-2.08656109780881,0.2
long,0.4982797484873614,0.36777790959781975,0.2
long,0.5221312448083515,0.3639096554724843,0.2
short,0.24104002845062047,-0.3832931599952578,0.2
long,0.8053241971370577,-0.0334731328883407,0.2
long,0.5696774447019953,-0.17286763839233008,0.2
short,0.37551854982992905,-0.1749798478265117,0.2
long,0.3349394758490969,-0.14102714772594258,0.2
long,0.0,-0.3984686303617399,
short,0.5830094392004438,-0.8963274371381056,0.2
short,0.18800673690806852,-1.7488543339469567,0.15
long,1.6991891996741264,0.5004461341506073,0.2
long,1.2338051012724192,-0.021239211446006767,0.2
short,3.4691267103376164,3.298577464242807,0.2
long,0.05408746716119735,-4.2845000772678015,0.05
long,2.6333914029899117,1.942632581128707,0.2
long,2.4217676073421237,1.706153472952211,0.2
long,2.791194868952404,2.108242932932124,0.2
short,0.3642563744865526,-0.14143997519956952,0.2
short,1.079588250062751,-0.11587709302999727,0.2
short,0.690243524119735,-0.5079882115712743,0.2
short,0.0,-1.1673303662059848,
long,0.7905215111197312,0.5885209284257498,0.2
long,0.7648257042930201,0.21138398862370245,0.2
long,0.4059436274509813,-0.3063725490196122,0.2
short,0.7205549806446867,0.3027864014411178,0.2
short,1.0675607970093028,0.7939260800863306,0.2
short,0.06809735976808427,-0.3852364924022838,0.06
long,0.390991854336361,-1.3569717297556378,0.2
short,0.050310246520193974,-0.3186315612946624,0.05
long,0.8248801694348558,0.31211682086724013,0.2
long,2.0933179088855898,2.0575111551809537,0.2
long,1.8624170278128314,1.7389873278841494,0.2
long,1.6276843113117188,1.5839146491587919,0.2
long,1.8547858391608447,1.2674825174825295,0.2
long,1.6825743114262386,1.1835287701118167,0.2
long,1.5551803028652302,0.9396448414859975,0.2
long,0.6369598661304725,0.3859544951553283,0.2
short,1.2074820764379175,0.19405961942751618,0.2
long,1.5426251691474935,0.9120433017591353,0.2
long,1.4520184949841832,0.8274071870859591,0.2
short,0.25842604934577096,-0.699110470335408,0.2
short,0.0,-1.1591119838542518,
long,0.284738041002281,0.24134938713526044,0.2
long,0.4972555839356668,-0.1521656431715674,0.2
long,0.317331163547604,-0.3308923243829592,0.2
long,0.08382909680908661,-0.10275824770145901,0.08
long,2.2692807625650055,-0.958622183708829,0.2
short,1.1765987580346577,0.2723608236191306,0.2
long,0.996949226410974,-0.5148180431466514,0.2
long,0.9357626465569533,0.561457587934172,0.2
long,0.7029490911087929,0.28008127848865444,0.2
long,0.27377758309149647,0.09855992991294246,0.2
short,3.231311240779481,2.064295937465595,0.2
short,2.7737064793562203,1.4020629960454616,0.2
short,2.7279769809650323,1.4940239043824637,0.2
long,0.7767208870377801,0.6388247875274494,0.2
long,0.0,-2.4192202880818607,
long,0.1248368609203875,-0.4000453952221439,0.1
short,0.0,-0.14276740334646792,
short,0.9345255263916958,-2.2555523507355044,0.2
long,3.172397823318276,2.9003126085446285,0.2
short,1.2041381649612728,0.8564644694442798,0.2
long,0.5865433421690779,-0.9700524505104049,0.2
long,0.4505773021683936,-1.0109828217403638,0.2
long,0.6973819595289807,0.22007545444151763,0.2
long,0.9686479050839673,0.20920502092050733,0.2
long,0.8876925720176294,-0.017181146555180764,0.2
