date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2026-03-27,short,PMH,Gap Down,-0.535,1st,569.13,0.47967951083232624,0.5236062059634913,0.5798323757313715,True,False
2026-03-27,short,PMH,Gap Down,-0.535,2nd,568.89,0.23378860588163633,0.29706973228566874,0.5238271019001949,True,False
2026-03-31,short,PDH,Gap Up,1.129,1st,566.555,0.41390509306244117,0.41390509306244117,0.41390509306244117,False,False
2026-04-01,long,PML,Gap Up,0.735,1st,582.02,0.23195079206900499,0.402048039586274,0.5498092849043066,True,False
2026-04-09,long,PML,Flat,0.003,1st,606.2,0.05113823820520379,0.24579346750247594,0.6862421643022052,True,False
2026-04-10,long,PML,Flat,0.317,1st,612.279,0.04262762564124643,0.04262762564124643,0.1520548638774219,False,False
2026-04-10,long,PML,Flat,0.317,2nd,612.24,0.10126747680648186,0.18783483601201773,0.23356853521494023,False,False
2026-04-10,long,1H_Sup,Flat,0.317,1st,611.98,0.12663812542893185,0.2009869603581846,0.23039968626425178,False,False
2026-04-10,long,4H_Sup,Flat,0.317,1st,611.98,0.12663812542893185,0.2009869603581846,0.23039968626425178,False,False
2026-04-10,short,PMH,Flat,0.317,1st,610.35,0.02129925452609084,0.02129925452609084,0.1261571229622318,False,False
2026-04-15,long,PML,Flat,0.132,1st,629.69,0.14351506296748526,0.22868395559718918,0.4017850053200738,False,False
2026-04-15,long,1H_Sup,Flat,0.132,1st,629.88,0.11330729662793185,0.2794183018987729,0.4286530767765361,False,False
2026-04-15,long,4H_Sup,Flat,0.132,1st,629.78,0.1292038489631363,0.21436057035790637,0.4443774016323286,False,False
2026-04-16,long,1H_Sup,Flat,0.372,1st,638.95,0.2535409656467649,0.28171218405195314,0.45073949448313566,False,False
2026-04-16,long,4H_Sup,Flat,0.372,1st,638.6203,0.30529878239072683,0.33348454472868416,0.5025991187564814,True,False
2026-04-16,short,PMH,Flat,0.372,1st,636.67,0.22225014528719175,0.22225014528719175,0.22225014528719175,False,False
