date,attn_growth,price_growth,attn_4wk,fwd_1wk,fwd_2wk,fwd_1mo,fwd_3mo,sym
2024-11-04,62.1,41.5,52.5,3.39,11.27,10.32,-16.51,CLSK
2024-11-11,70.1,9.1,64.5,7.63,2.28,-14.33,-25.16,CLSK
2024-11-18,80.7,32.6,71.8,-4.97,-0.86,-26.23,-38.74,CLSK
2024-11-25,72.1,39.0,73.0,4.32,-16.24,-31.85,-44.32,CLSK
2025-09-29,74.0,72.5,42.5,20.95,22.49,11.67,-27.54,CLSK
2025-10-06,135.5,86.3,53.8,1.27,0.44,-19.24,-39.78,CLSK
2025-10-13,122.3,43.4,61.2,-0.82,-8.83,-43.87,-31.52,CLSK
2025-10-20,82.5,49.4,64.2,-8.08,-19.6,-49.75,-29.2,CLSK
2025-10-27,51.1,11.7,64.8,-12.53,-38.43,-15.17,-33.48,CLSK
2024-07-29,54.4,6.3,55.8,-2.06,-0.7,-0.83,9.99,CMCSA
2024-04-08,50.8,7.3,44.2,-2.99,7.76,9.52,-2.51,CMG
2024-02-26,66.7,29.2,9.0,0.61,-7.42,-4.49,-10.1,COHR
2024-08-19,53.8,12.6,9.0,-1.8,-13.66,9.62,32.7,COHR
2024-08-26,63.0,32.3,10.0,-12.07,0.04,15.24,28.49,COHR
2024-09-02,59.3,8.2,9.8,13.77,26.96,39.09,62.3,COHR
2025-02-03,52.9,6.7,12.0,-9.48,-13.82,-30.61,-26.41,COHR
2025-11-10,60.8,19.8,19.5,0.13,17.89,28.0,55.91,COHR
2026-02-09,54.2,13.7,26.8,14.25,19.2,11.75,76.06,COHR
2025-08-18,121.7,7.5,24.5,-2.83,-0.68,9.96,8.06,COHU
2026-01-26,56.4,16.0,29.5,8.09,7.22,5.82,59.74,COHU
2026-02-02,51.8,14.9,31.2,-0.81,2.3,-10.34,60.58,COHU
2026-02-09,70.5,8.3,39.5,3.14,-1.31,-10.95,54.05,COHU
2026-02-16,63.1,11.8,41.0,-4.31,-12.36,-6.46,47.43,COHU
2024-12-02,66.4,26.9,47.2,-9.62,-18.89,-21.24,-36.72,COIN
2025-02-03,58.1,6.1,57.5,-0.07,-14.25,-20.78,-27.39,COIN
2024-06-03,130.3,113.7,18.0,32.78,15.3,32.26,19.79,CORZ
2024-06-10,253.1,179.6,27.2,-13.17,-9.97,-2.23,8.23,CORZ
2024-06-17,333.3,86.1,34.8,3.68,14.72,15.83,33.56,CORZ
2024-06-24,402.9,95.8,41.8,10.65,8.6,9.78,30.75,CORZ
2024-07-01,93.4,32.3,35.8,-1.85,0.97,-13.61,18.46,CORZ
2025-06-23,59.3,56.3,35.2,8.11,-24.86,-17.36,1.2,CORZ
2025-06-30,83.9,47.7,41.8,-30.5,-25.83,-29.72,-1.0,CORZ
2025-07-07,183.1,5.2,62.0,6.71,9.99,15.19,48.04,CORZ
2025-07-14,225.6,12.6,69.0,3.07,-5.24,5.84,42.32,CORZ
2025-10-20,66.7,14.8,30.2,11.38,4.4,-23.84,-2.84,CORZ
2025-10-27,77.5,20.9,38.5,-6.27,-30.69,-21.59,-16.48,CORZ
2025-11-03,82.3,9.0,42.8,-26.05,-27.04,-15.26,-16.74,CORZ
2024-02-26,55.5,33.5,52.2,-3.22,-4.33,-6.12,20.0,CPNG
2024-03-04,65.7,26.8,57.0,-1.15,-4.2,-0.55,19.08,CPNG
2024-05-06,59.0,5.9,69.8,2.22,-0.67,-2.93,0.4,CPNG
2025-05-19,63.1,17.1,44.2,2.19,3.64,4.01,4.74,CPNG
2025-05-26,81.8,16.4,49.0,1.43,0.18,9.84,1.89,CPNG
2024-02-26,132.6,217.7,50.8,-15.04,-27.58,-35.1,-60.17,CPOP
