date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-09-29,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,24872.0,SL,-20.0,2,09:30-09:45
2025-09-29,NQ,VWAP,reject,short,TP25_SL12,25,12,24872.0,SL,-12.0,0,09:30-09:45
2025-09-29,NQ,VWAP,reject,short,TP40_SL20,40,20,24872.0,SL,-20.0,2,09:30-09:45
2025-09-29,NQ,OR15High,reject,short,TP25_SL12,25,12,24875.5,SL,-12.0,2,09:30-09:45
2025-09-29,NQ,OR15High,reject,short,TP40_SL20,40,20,24875.5,SL,-20.0,4,09:30-09:45
2025-09-29,NQ,OR15Low,reject,short,TP25_SL12,25,12,24859.5,TP,25.0,21,11:00-12:00
2025-09-29,NQ,OR15Low,reject,short,TP40_SL20,40,20,24859.5,TP,40.0,90,11:00-12:00
2025-09-29,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,24857.75,SL,-12.0,3,11:00-12:00
2025-09-29,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,24857.75,SL,-20.0,17,11:00-12:00
2025-09-29,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24824.75,SL,-12.0,16,12:00-14:00
2025-09-29,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24824.75,SL,-20.0,50,12:00-14:00
2025-09-29,NQ,PriorRTHHigh,breakout,long,TP25_SL12,25,12,24788.75,TP,25.0,7,14:00-close
2025-09-29,NQ,PriorRTHHigh,breakout,long,TP40_SL20,40,20,24788.75,TP,40.0,24,14:00-close
2025-09-30,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,24794.75,SL,-12.0,0,09:30-09:45
2025-09-30,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,24794.75,SL,-20.0,0,09:30-09:45
2025-09-30,NQ,PriorRTHLow,breakout,long,TP25_SL12,25,12,24794.75,SL,-12.0,0,09:30-09:45
2025-09-30,NQ,PriorRTHLow,breakout,long,TP40_SL20,40,20,24794.75,SL,-20.0,0,09:30-09:45
2025-09-30,NQ,OR15High,reject,short,TP25_SL12,25,12,24794.75,TP,25.0,1,09:30-09:45
2025-09-30,NQ,OR15High,reject,short,TP40_SL20,40,20,24794.75,TP,40.0,4,09:30-09:45
2025-09-30,NQ,VWAP,reject,short,TP25_SL12,25,12,24794.75,TP,25.0,1,09:30-09:45
2025-09-30,NQ,VWAP,reject,short,TP40_SL20,40,20,24794.75,TP,40.0,4,09:30-09:45
2025-09-30,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24772.0,SL,-12.0,0,09:30-09:45
2025-09-30,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24772.0,SL,-20.0,3,09:30-09:45
2025-09-30,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,24762.25,SL,-12.0,0,09:30-09:45
2025-09-30,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,24762.25,SL,-20.0,1,09:30-09:45
2025-09-30,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24768.5,TP,25.0,2,09:30-09:45
2025-09-30,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24768.5,SL,-20.0,7,09:30-09:45
2025-09-30,NQ,OR15Low,reject,short,TP25_SL12,25,12,24794.25,TP,25.0,2,09:45-10:00
2025-09-30,NQ,OR15Low,reject,short,TP40_SL20,40,20,24794.25,TP,40.0,7,09:45-10:00
2025-09-30,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,24837.25,SL,-12.0,3,10:30-11:00
2025-09-30,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,24837.25,SL,-20.0,3,10:30-11:00
2025-10-01,NQ,VWAP,breakout,long,TP25_SL12,25,12,24819.25,SL,-12.0,2,09:30-09:45
2025-10-01,NQ,VWAP,breakout,long,TP40_SL20,40,20,24819.25,SL,-20.0,14,09:30-09:45
2025-10-01,NQ,OR15High,reject,short,TP25_SL12,25,12,24816.0,SL,-12.0,0,09:30-09:45
2025-10-01,NQ,OR15High,reject,short,TP40_SL20,40,20,24816.0,SL,-20.0,1,09:30-09:45
