entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
131,142,11,1.734,1.4242694129583977,-0.17862202251534157,sl,short,0.6278026905829706,Balanced (+30/-15%),NVDA
161,190,29,1.734,1.6744870320035063,-0.03432120415022701,time,short,0.6333853354133514,Balanced (+30/-15%),NVDA
180,209,29,1.734,1.5369513947252977,-0.11363818066591826,time,long,0.6334841628959466,Balanced (+30/-15%),NVDA
216,245,29,1.734,1.780654974358976,0.026905982905983807,time,short,0.7578347578347445,Balanced (+30/-15%),NVDA
238,267,29,1.734,1.7324225616051405,-0.0009097107236790456,time,short,0.7938144329896456,Balanced (+30/-15%),NVDA
266,295,29,1.734,1.94265937947494,0.12033412887828147,time,long,0.6100917431192568,Balanced (+30/-15%),NVDA
306,335,29,1.734,1.6640064682002746,-0.040365358592690505,time,long,0.7156549520766501,Balanced (+30/-15%),NVDA
355,384,29,1.734,1.7543062068965531,0.011710615280595823,time,long,0.6849315068493286,Balanced (+30/-15%),NVDA
397,426,29,1.734,1.6821286906252981,-0.029914249927740402,time,long,0.6170798898071357,Balanced (+30/-15%),NVDA
416,445,29,1.734,2.248571965844951,0.29675430556225535,tp,short,0.7373096446700371,Balanced (+30/-15%),NVDA
454,483,29,1.734,1.74396342278101,0.005745918558829252,time,short,0.6923636363636404,Balanced (+30/-15%),NVDA
509,538,29,1.734,1.8934821529745007,0.0919735599622265,time,long,0.6168032786885314,Balanced (+30/-15%),NVDA
534,563,29,1.734,1.724108330235513,-0.005704538503164404,time,short,0.7454739084131976,Balanced (+30/-15%),NVDA
545,567,22,1.734,1.4271359235668777,-0.1769689022105665,sl,short,0.6975088967970751,Balanced (+30/-15%),NVDA
570,599,29,1.734,1.8566272875832455,0.0707193123317448,time,long,0.6822033898305585,Balanced (+30/-15%),NVDA
577,606,29,1.734,2.0239128334439305,0.16719309887193223,time,long,0.6270691333982205,Balanced (+30/-15%),NVDA
606,635,29,1.734,1.5715935942124282,-0.09365998026964927,time,long,0.7368421052631211,Balanced (+30/-15%),NVDA
633,662,29,1.734,1.8291920762372038,0.054897391140255956,time,long,0.775818639798485,Balanced (+30/-15%),NVDA
641,670,29,1.734,1.8312872696278044,0.05610569182687684,time,long,0.782719186785256,Balanced (+30/-15%),NVDA
751,780,29,1.734,1.6305183804905596,-0.05967798126265303,time,long,0.6111111111110058,Balanced (+30/-15%),NVDA
779,808,29,1.734,1.9782518239705684,0.14086033677656773,time,short,0.6332794830372179,Balanced (+30/-15%),NVDA
787,816,29,1.734,2.1938395924912713,0.2651900764078842,time,short,0.6315789473684346,Balanced (+30/-15%),NVDA
793,821,28,1.734,2.231658,0.287,tp,short,0.6263982102907962,Balanced (+30/-15%),NVDA
798,815,17,1.734,2.25485300846856,0.30037659081231827,tp,long,0.6292134831460587,Balanced (+30/-15%),NVDA
860,889,29,1.734,1.693798629780914,-0.02318418121054555,time,long,0.7112299465241321,Balanced (+30/-15%),NVDA
865,894,29,1.734,1.6615625774198013,-0.041774753506458304,time,short,0.6467757459095467,Balanced (+30/-15%),NVDA
879,908,29,1.734,1.969310970297032,0.1357041351193956,time,long,0.7114754098360095,Balanced (+30/-15%),NVDA
884,913,29,1.734,1.9699325162972632,0.13606258148631095,time,long,0.7145328719722914,Balanced (+30/-15%),NVDA
940,969,29,1.734,1.4479459354838726,-0.16496774193548291,time,short,0.7409470752089041,Balanced (+30/-15%),NVDA
970,999,29,1.734,1.7214106077348093,-0.00726031849203618,time,long,0.669966996699717,Balanced (+30/-15%),NVDA
1020,1049,29,1.734,1.7537980374483109,0.011417553315058178,time,long,0.7977941176470816,Balanced (+30/-15%),NVDA
1075,1104,29,1.734,1.7846811906976734,0.029227906976743604,time,long,0.7686274509804785,Balanced (+30/-15%),NVDA
1089,1118,29,1.734,1.6622763136290926,-0.04136314092901235,time,short,0.7241379310345123,Balanced (+30/-15%),NVDA
1104,1133,29,1.734,1.648052513344165,-0.049566024599674144,time,short,0.7301587301587837,Balanced (+30/-15%),NVDA
1136,1165,29,1.734,1.688268025643409,-0.026373687633558785,time,short,0.610738255033532,Balanced (+30/-15%),NVDA
1193,1205,12,1.734,1.432320111565638,-0.1739791744142802,sl,short,0.7253886010362576,Balanced (+30/-15%),NVDA
1252,1281,29,1.734,1.7935881643132208,0.03436456996148834,time,long,0.6973584905660041,Balanced (+30/-15%),NVDA
1333,1362,29,1.734,1.6709884285231493,-0.03633885321617685,time,short,0.773955773955848,Balanced (+30/-15%),NVDA
1344,1373,29,1.734,1.816064244067795,0.047326553672315454,time,long,0.6621621621621706,Balanced (+30/-15%),NVDA
1363,1392,29,1.734,1.7315098971675997,-0.0014360454627452444,time,long,0.6170798898071549,Balanced (+30/-15%),NVDA
1368,1397,29,1.734,1.69932,-0.020000000000000025,time,long,0.7327823691460091,Balanced (+30/-15%),NVDA
1416,1445,29,1.734,1.6846839709882142,-0.02844061650045316,time,long,0.6951724137931352,Balanced (+30/-15%),NVDA
1454,1483,29,1.734,1.6654536715282182,-0.03953075459733666,time,short,0.7384615384615647,Balanced (+30/-15%),NVDA
1461,1490,29,1.734,1.6577906372194045,-0.0439500362056491,time,short,0.6136986301368681,Balanced (+30/-15%),NVDA
1489,1518,29,1.734,1.7963403996556246,0.035951787575331406,time,short,0.60576923076925,Balanced (+30/-15%),NVDA
1522,1551,29,1.734,1.5427784420862525,-0.11027771505983132,time,short,0.7559999999999663,Balanced (+30/-15%),NVDA
1524,1553,29,1.734,1.557207485025878,-0.10195646768980511,time,long,0.6051080550097516,Balanced (+30/-15%),NVDA
1531,1560,29,1.734,1.5192860977045297,-0.12382577987051342,time,long,0.6334841628958894,Balanced (+30/-15%),NVDA
1537,1566,29,1.734,1.4538836112557445,-0.16154347678446107,time,long,0.6785714285714177,Balanced (+30/-15%),NVDA
1545,1574,29,1.734,1.5542702111237234,-0.10365039727582269,time,short,0.6431095406360235,Balanced (+30/-15%),NVDA
1572,1601,29,1.734,1.7505043373493951,0.009518072289155225,time,long,0.7404958677685709,Balanced (+30/-15%),NVDA
1589,1618,29,1.734,1.4542220402574264,-0.16134830434981176,time,long,0.7400881057269062,Balanced (+30/-15%),NVDA
1626,1655,29,1.734,1.7116266672701739,-0.012902729371295336,time,long,0.7792452830188727,Balanced (+30/-15%),NVDA
1662,1676,14,1.734,1.4212102348354327,-0.18038625442016565,sl,short,0.7198917456021606,Balanced (+30/-15%),NVDA
1667,1678,11,1.734,1.4043769130810129,-0.1900940524330952,sl,long,0.7906976744185452,Balanced (+30/-15%),NVDA
1688,1717,29,1.734,1.5609806631602996,-0.09978047107249158,time,short,0.7205882352941547,Balanced (+30/-15%),NVDA
1690,1719,29,1.734,1.5259517320889362,-0.11998170006405062,time,long,0.6730769230769666,Balanced (+30/-15%),NVDA
1748,1777,29,1.734,1.7525093026467207,0.010674338319908121,time,short,0.6542056074766142,Balanced (+30/-15%),NVDA
1759,1788,29,1.734,1.7917169035111975,0.03328541148281287,time,long,0.656983240223413,Balanced (+30/-15%),NVDA
1761,1790,29,1.734,1.688381848275863,-0.02630804597701094,time,short,0.6859688195991172,Balanced (+30/-15%),NVDA
1832,1861,29,1.734,2.106385187072861,0.2147550098459407,time,long,0.7430997876857737,Balanced (+30/-15%),NVDA
1925,1954,29,1.734,1.7534951605410567,0.011242883818371806,time,short,0.6525423728814383,Balanced (+30/-15%),NVDA
1928,1957,29,1.734,1.8060689803350325,0.04156227239621252,time,short,0.6794380587484067,Balanced (+30/-15%),NVDA
1935,1964,29,1.734,1.9296074794670581,0.11280708158423192,time,long,0.6556962025316508,Balanced (+30/-15%),NVDA
1957,1986,29,1.734,1.8650885117967315,0.07559891107077943,time,short,0.6040992448760003,Balanced (+30/-15%),NVDA
