Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
ES,reject,GlobexLow,09:45-10:00,TP8_SL4,23,34.8,1.07,0.17,-12.0
ES,reject,OR15High,09:30-09:45,TP8_SL4,215,34.9,1.06,0.15,-60.0
ES,reject,OR15High,09:45-10:00,TP8_SL4,29,34.5,1.05,0.14,-20.0
ES,breakout,GlobexHigh,09:45-10:00,TP8_SL4,3,33.3,1.0,0.0,-8.0
ES,breakout,GlobexLow,10:30-11:00,TP12_SL6,6,33.3,1.0,0.0,-12.0
ES,breakout,GlobexLow,10:30-11:00,TP8_SL4,6,33.3,1.0,0.0,-8.0
ES,breakout,PriorRTHHigh,10:00-10:30,TP12_SL6,3,33.3,1.0,0.0,-6.0
ES,breakout,PriorRTHLow,09:30-09:45,TP8_SL4,39,33.3,1.0,0.0,-36.0
ES,reject,GlobexLow,11:00-12:00,TP12_SL6,15,33.3,1.0,0.0,-30.0
ES,reject,PriorRTHLow,09:45-10:00,TP8_SL4,12,33.3,1.0,0.0,-16.0
ES,reject,PriorRTHLow,10:00-10:30,TP8_SL4,12,33.3,1.0,0.0,-12.0
ES,reject,PriorRTHLow,11:00-12:00,TP12_SL6,15,33.3,1.0,0.0,-30.0
ES,reject,PriorRTHLow,11:00-12:00,TP8_SL4,15,33.3,1.0,0.0,-20.0
ES,reject,VWAP,10:00-10:30,TP8_SL4,3,33.3,1.0,0.0,-4.0
ES,reject,GlobexLow,14:00-close,TP12_SL6,15,33.3,0.93,-0.23,-33.5
ES,reject,VWAP,09:30-09:45,TP8_SL4,240,32.1,0.93,-0.18,-92.0
ES,reject,PriorRTHHigh,09:45-10:00,TP8_SL4,19,31.6,0.92,-0.21,-16.0
ES,reject,GlobexHigh,14:00-close,TP8_SL4,23,39.1,0.88,-0.3,-19.75
ES,reject,GlobexLow,09:30-09:45,TP12_SL6,37,29.7,0.87,-0.51,-73.0
ES,reject,GlobexLow,09:30-09:45,TP8_SL4,37,29.7,0.87,-0.35,-32.0
ES,breakout,PriorRTHHigh,09:30-09:45,TP8_SL4,30,30.0,0.86,-0.4,-32.0
ES,breakout,PriorRTHLow,09:45-10:00,TP12_SL6,10,30.0,0.86,-0.6,-18.0
ES,reject,GlobexHigh,11:00-12:00,TP12_SL6,17,29.4,0.83,-0.71,-42.0
ES,breakout,PriorRTHLow,10:00-10:30,TP12_SL6,7,28.6,0.8,-0.86,-18.0
ES,breakout,PriorRTHLow,10:00-10:30,TP8_SL4,7,28.6,0.8,-0.57,-12.0
ES,breakout,OR15Low,09:30-09:45,TP8_SL4,194,27.8,0.77,-0.66,-156.0
ES,reject,PriorRTHHigh,14:00-close,TP12_SL6,11,27.3,0.75,-1.09,-42.0
ES,reject,PriorRTHLow,10:30-11:00,TP12_SL6,11,27.3,0.75,-1.09,-30.0
ES,reject,PriorRTHLow,10:30-11:00,TP8_SL4,11,27.3,0.75,-0.73,-20.0
ES,reject,OR15Low,09:45-10:00,TP8_SL4,52,26.9,0.74,-0.77,-36.0
ES,breakout,GlobexLow,12:00-14:00,TP8_SL4,15,26.7,0.73,-0.8,-16.0
ES,breakout,PriorRTHHigh,09:30-09:45,TP12_SL6,30,26.7,0.73,-1.2,-66.0
ES,reject,GlobexLow,11:00-12:00,TP8_SL4,15,26.7,0.73,-0.8,-20.0
ES,breakout,GlobexLow,10:00-10:30,TP12_SL6,20,25.0,0.67,-1.5,-78.0
ES,breakout,GlobexLow,10:00-10:30,TP8_SL4,20,25.0,0.67,-1.0,-40.0
ES,breakout,PriorRTHLow,14:00-close,TP12_SL6,8,25.0,0.67,-1.25,-18.0
ES,reject,GlobexLow,12:00-14:00,TP12_SL6,12,25.0,0.67,-1.5,-30.0
ES,reject,OR15High,10:00-10:30,TP12_SL6,4,25.0,0.67,-1.5,-6.0
ES,reject,OR15Low,09:45-10:00,TP12_SL6,52,25.0,0.67,-1.5,-96.0
ES,reject,PriorRTHHigh,10:00-10:30,TP12_SL6,16,25.0,0.67,-1.5,-36.0
ES,reject,PriorRTHHigh,10:00-10:30,TP8_SL4,16,25.0,0.67,-1.0,-24.0
ES,reject,PriorRTHHigh,10:30-11:00,TP12_SL6,8,25.0,0.67,-1.5,-18.0
ES,reject,PriorRTHHigh,10:30-11:00,TP8_SL4,8,25.0,0.67,-1.0,-24.0
ES,reject,PriorRTHLow,12:00-14:00,TP8_SL4,8,25.0,0.67,-1.0,-12.0
ES,breakout,OR15Low,09:30-09:45,TP12_SL6,194,24.7,0.66,-1.55,-336.0
ES,reject,GlobexHigh,12:00-14:00,TP12_SL6,20,25.0,0.58,-1.9,-56.0
ES,reject,GlobexLow,14:00-close,TP8_SL4,15,26.7,0.56,-1.3,-31.5
ES,reject,OR15Low,10:00-10:30,TP8_SL4,14,21.4,0.55,-1.43,-28.0
ES,reject,OR15Low,09:30-09:45,TP12_SL6,148,21.6,0.54,-2.19,-341.5
ES,reject,GlobexLow,10:00-10:30,TP12_SL6,18,16.7,0.4,-3.0,-72.0
