symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,long,256.2,256.07,tp,0.0005,30,1.1111111111112013,expanded,1.3934687430724895,40,85,boof22
AAPL,short,258.28,257.27,tp,0.0005,30,1.1681643132222825,expanded,1.457978414651987,152,85,boof22
AAPL,short,257.495,256.99,tp,0.0005,30,0.7023411371236372,expanded,1.4393280524018837,188,95,boof22
AAPL,long,257.135,257.02,tp,0.0005,30,0.6436781609198451,expanded,1.1099597297342836,53,85,boof22
AAPL,long,258.105,257.73,tp,0.0005,30,0.6390041493773208,expanded,1.1080441640378549,163,85,boof22
AAPL,short,258.53,257.9,tp,0.0005,30,1.0044843049325018,expanded,1.5372745233279947,115,85,boof22
AAPL,long,258.49,257.075,tp,0.0005,30,0.7696335078533352,expanded,1.0482994543763795,27,85,boof22
AAPL,short,258.31,257.81,sl,-0.0003,30,1.1633237822349982,expanded,1.269166209705438,18,85,boof22
AAPL,long,258.69,258.47,tp,0.0005,30,0.7075812274367879,expanded,1.8275571769327907,37,95,boof22
AAPL,long,259.49,259.77,tp,0.0005,30,0.6698564593303221,expanded,1.1164125113044563,50,85,boof22
AAPL,short,259.925,259.925,tp,0.0005,30,0.9732620320855251,expanded,1.5125253692428484,7,85,boof22
AAPL,long,259.79,260.01,sl,-0.0003,30,1.1170212765955105,expanded,2.3757992417812486,3,80,boof22
AAPL,long,259.86,259.83,tp,0.0005,30,1.007999999999674,expanded,1.5493412554895376,57,85,boof22
AAPL,short,259.89,259.98,tp,0.0005,30,0.6222222222221829,expanded,1.219091927285259,7,95,boof22
AAPL,long,259.84,259.95,tp,0.0005,30,1.089494163424303,expanded,1.227400994834513,57,85,boof22
AAPL,long,259.95,258.74,sl,-0.0003,30,1.1023622047240493,expanded,1.340236766173179,173,85,boof22
AAPL,short,260.915,260.33,tp,0.0005,30,0.6256983240218297,expanded,1.1990655291247725,72,85,boof22
AAPL,short,260.8,260.58,tp,0.0005,30,0.610909090909114,expanded,2.6050334228949157,152,95,boof22
AAPL,short,260.94,260.25,tp,0.0005,30,0.9877300613497396,expanded,1.311945021895516,72,85,boof22
AAPL,short,260.35,259.99,tp,0.0005,30,0.7650273224045284,expanded,2.574464558242688,2,85,boof22
AAPL,long,260.15,260.095,tp,0.0005,30,0.7050359712229454,expanded,2.130413061502158,136,95,boof22
AAPL,short,259.91,259.71,tp,0.0005,30,0.968973747016749,expanded,1.584534028203556,7,85,boof22
AAPL,short,259.425,259.52,tp,0.0005,30,0.8143176733780011,expanded,2.798044651977236,50,85,boof22
AAPL,long,259.61,259.54,tp,0.0005,30,0.6172839506172637,expanded,2.0185052041687106,10,95,boof22
AAPL,short,261.61,259.47,tp,0.0005,30,0.743749999999948,expanded,2.198245697744696,91,95,boof22
AAPL,long,259.14,259.28,tp,0.0005,30,0.8442982456141394,expanded,1.6821912678592572,25,85,boof22
AAPL,short,260.06,259.45,sl,-0.0003,30,0.618101545253824,expanded,1.0569722977043858,23,85,boof22
AAPL,long,258.08,258.545,tp,0.0005,30,0.7619047619047044,expanded,1.3947477933285148,163,95,boof22
AAPL,short,257.55,257.82,tp,0.0005,30,0.874999999999771,expanded,1.4482320558966757,3,80,boof22
AAPL,short,257.89,257.58,tp,0.0005,30,0.6249999999999238,expanded,1.1809472461844723,106,85,boof22
AAPL,long,257.69,257.845,tp,0.0005,30,0.744680851064001,expanded,1.3089483732076852,8,95,boof22
