sym,date,level,entry_time,gap_pct,gapped_up,open_above,max_30m,max_1hr,max_2hr,max_3hr,max_eod,ret_30m,ret_1hr,ret_2hr,ret_3hr,ret_eod,rr_1_05,rr_2_1
KDP,2026-03-30,PDH,10:41,0.152,True,False,0.32,0.451,0.451,0.451,0.451,0.15,0.094,0.113,-0.132,-0.489,False,
KDP,2026-03-30,PMH,10:19,0.152,True,False,1.1,1.213,1.232,1.232,1.232,0.948,1.213,0.891,1.005,0.284,True,
KDP,2026-04-08,PDH,09:31,0.51,True,False,0.271,0.523,0.523,0.523,0.523,0.155,-0.465,-0.31,-0.504,0.097,False,
KDP,2026-04-08,PMH,10:03,0.51,True,False,0.135,0.135,0.135,0.135,0.135,-0.772,-0.232,-0.849,-0.752,-0.289,False,False
KDP,2026-04-09,PDH,09:59,-0.929,False,False,0.539,0.539,1.232,1.578,2.194,0.346,0.212,1.078,1.52,1.578,True,True
KDP,2026-04-09,PMH,09:59,-0.929,False,False,0.539,0.539,1.232,1.578,2.194,0.346,0.212,1.078,1.52,1.578,True,True
KDP,2026-04-10,PDH,10:31,0.265,True,False,0.0,0.0,0.0,0.0,0.056,-0.527,-0.791,-1.318,-1.205,0.019,False,False
KDP,2026-04-10,PMH,10:29,0.265,True,False,0.17,0.17,0.17,0.17,0.207,-0.302,-0.735,-1.244,-1.008,0.17,False,False
KDP,2026-04-16,PDH,09:48,-0.346,False,False,0.649,0.649,0.649,0.649,0.649,0.21,0.134,0.306,-0.21,-0.497,False,
KDP,2026-04-16,PMH,09:44,-0.346,False,False,1.016,1.016,1.016,1.016,1.016,0.441,0.498,0.69,0.268,-0.134,True,
KDP,2026-04-17,PDH,10:18,-0.038,False,False,0.455,1.024,1.024,1.024,1.024,0.455,0.835,0.266,0.417,0.702,True,
KDP,2026-04-17,PMH,09:53,-0.038,False,False,0.839,1.106,1.506,1.506,1.506,0.839,0.953,1.01,0.934,1.182,True,
KDP,2026-04-20,PDH,09:38,-0.038,False,False,0.506,0.506,0.582,0.582,0.582,-0.038,0.131,0.3,-0.225,-0.582,False,
KDP,2026-04-20,PMH,09:31,-0.038,False,False,0.62,0.62,0.695,0.695,0.695,0.019,0.488,0.488,0.0,-0.469,False,
KDP,2026-04-22,PDH,09:46,0.189,True,False,0.654,0.654,0.766,0.766,0.766,0.187,0.299,0.635,-0.093,-0.804,False,False
KDP,2026-04-22,PMH,09:56,0.189,True,False,0.037,0.037,0.149,0.149,0.149,-0.464,-0.26,-0.149,-0.762,-1.412,False,False
KDP,2026-04-23,PMH,09:43,2.826,True,False,2.515,2.533,2.533,2.533,2.533,2.515,0.571,1.248,1.534,1.801,False,True
KDP,2026-04-24,PDH,09:57,-0.105,False,False,0.574,0.921,0.921,0.939,1.79,0.487,0.348,0.521,0.8,1.617,True,
