symbol,date,direction,tp,sl,pnl
AVGO,2026-01-22,long,0.0025,0.0025,-0.0025
AVGO,2026-01-22,long,0.0025,0.004,-0.004
AVGO,2026-01-22,long,0.0025,0.005,-0.005
AVGO,2026-01-22,long,0.005,0.0025,-0.0025
AVGO,2026-01-22,long,0.005,0.004,-0.004
AVGO,2026-01-22,long,0.005,0.005,-0.005
AVGO,2026-01-22,long,0.0075,0.0025,-0.0025
AVGO,2026-01-22,long,0.0075,0.004,-0.004
AVGO,2026-01-22,long,0.0075,0.005,-0.005
AVGO,2026-01-28,long,0.0025,0.0025,-0.0025
AVGO,2026-01-28,long,0.0025,0.004,-0.004
AVGO,2026-01-28,long,0.0025,0.005,-0.005
AVGO,2026-01-28,long,0.005,0.0025,-0.0025
AVGO,2026-01-28,long,0.005,0.004,-0.004
AVGO,2026-01-28,long,0.005,0.005,-0.005
AVGO,2026-01-28,long,0.0075,0.0025,-0.0025
AVGO,2026-01-28,long,0.0075,0.004,-0.004
AVGO,2026-01-28,long,0.0075,0.005,-0.005
AVGO,2026-01-30,long,0.0025,0.0025,-0.0025
AVGO,2026-01-30,long,0.0025,0.004,-0.004
AVGO,2026-01-30,long,0.0025,0.005,-0.005
AVGO,2026-01-30,long,0.005,0.0025,-0.0025
AVGO,2026-01-30,long,0.005,0.004,-0.004
AVGO,2026-01-30,long,0.005,0.005,-0.005
AVGO,2026-01-30,long,0.0075,0.0025,-0.0025
AVGO,2026-01-30,long,0.0075,0.004,-0.004
AVGO,2026-01-30,long,0.0075,0.005,-0.005
AVGO,2026-01-30,long,0.0025,0.0025,0.0025
AVGO,2026-01-30,long,0.0025,0.004,0.0025
AVGO,2026-01-30,long,0.0025,0.005,0.0025
AVGO,2026-01-30,long,0.005,0.0025,-0.0025
AVGO,2026-01-30,long,0.005,0.004,-0.004
AVGO,2026-01-30,long,0.005,0.005,-0.005
AVGO,2026-01-30,long,0.0075,0.0025,-0.0025
AVGO,2026-01-30,long,0.0075,0.004,-0.004
AVGO,2026-01-30,long,0.0075,0.005,-0.005
AVGO,2026-02-03,long,0.0025,0.0025,0.0025
AVGO,2026-02-03,long,0.0025,0.004,0.0025
AVGO,2026-02-03,long,0.0025,0.005,0.0025
AVGO,2026-02-03,long,0.005,0.0025,0.005
AVGO,2026-02-03,long,0.005,0.004,0.005
AVGO,2026-02-03,long,0.005,0.005,0.005
AVGO,2026-02-03,long,0.0075,0.0025,0.0075
AVGO,2026-02-03,long,0.0075,0.004,0.0075
AVGO,2026-02-03,long,0.0075,0.005,0.0075
AVGO,2026-02-03,long,0.0025,0.0025,0.0025
AVGO,2026-02-03,long,0.0025,0.004,0.0025
AVGO,2026-02-03,long,0.0025,0.005,0.0025
AVGO,2026-02-03,long,0.005,0.0025,0.005
AVGO,2026-02-03,long,0.005,0.004,0.005
AVGO,2026-02-03,long,0.005,0.005,0.005
AVGO,2026-02-03,long,0.0075,0.0025,0.0075
AVGO,2026-02-03,long,0.0075,0.004,0.0075
AVGO,2026-02-03,long,0.0075,0.005,0.0075
AVGO,2026-02-03,long,0.0025,0.0025,0.0025
AVGO,2026-02-03,long,0.0025,0.004,0.0025
AVGO,2026-02-03,long,0.0025,0.005,0.0025
AVGO,2026-02-03,long,0.005,0.0025,0.005
AVGO,2026-02-03,long,0.005,0.004,0.005
AVGO,2026-02-03,long,0.005,0.005,0.005
AVGO,2026-02-03,long,0.0075,0.0025,0.0075
AVGO,2026-02-03,long,0.0075,0.004,0.0075
AVGO,2026-02-03,long,0.0075,0.005,0.0075
AVGO,2026-02-03,long,0.0025,0.0025,-0.0025
AVGO,2026-02-03,long,0.0025,0.004,0.0025
