pnl,slack,tier,result,symbol
-25.0,0.7483398294789552,expanded,loss,AMD
-25.0,0.605067679879227,expanded,loss,AMD
-50.0,0.9559135822727681,core,loss,AMD
-50.0,1.4261062271409042,core,loss,AMD
-25.0,0.611673887233606,expanded,loss,AMD
-25.0,0.6422683079661553,expanded,loss,AMD
-25.0,0.6137871116885482,expanded,loss,AMD
-50.0,0.8159269867564799,core,loss,AMD
-50.0,0.8529253951594516,core,loss,AMD
-25.0,0.7222517480063891,expanded,loss,AMD
-25.0,0.6489549095708956,expanded,loss,AMD
200.0,1.2694928192017256,core,win,AMD
200.0,1.4002736379278573,core,win,AMD
200.0,1.757267896329646,core,win,AMD
200.0,1.062380371510356,core,win,AMD
200.0,1.7654106817371762,core,win,AMD
-50.0,1.1456530950519346,core,loss,AMD
-25.0,0.7076780696574022,expanded,loss,AMD
-50.0,1.1572806652315504,core,loss,AMD
-25.0,0.6091875910737377,expanded,loss,AMD
-50.0,0.9079522268932892,core,loss,AMD
-50.0,2.3287854166136244,core,loss,AMD
-50.0,0.8205576961490327,core,loss,AMD
200.0,1.2057265323296236,core,win,AMD
100.0,0.7791181681707775,expanded,win,AMD
-25.0,0.6310907927809134,expanded,loss,AMD
100.0,0.6713741487285152,expanded,win,AMD
-25.0,0.6419528258740199,expanded,loss,AMD
-25.0,0.6018248900854167,expanded,loss,AMD
-50.0,0.8275964551850595,core,loss,AMD
-25.0,0.6279705220739846,expanded,loss,AMD
-50.0,0.8962076734020017,core,loss,AMD
-50.0,0.8881842559663973,core,loss,AMD
-50.0,1.741339448405293,core,loss,AMD
-25.0,0.6994845698608486,expanded,loss,AMD
200.0,1.0600503987479728,core,win,AMD
100.0,0.6520425550560033,expanded,win,AMD
100.0,0.6623915226777328,expanded,win,AMD
-25.0,0.790213884927685,expanded,loss,AMD
-50.0,0.8425368489052822,core,loss,AMD
200.0,1.0056324255952935,core,win,AMD
200.0,0.8502476713492059,core,win,AMD
-50.0,1.8375618483066185,core,loss,AMD
200.0,0.9995673060708674,core,win,AMD
-25.0,0.6883330365953229,expanded,loss,AMD
200.0,1.1861831378812508,core,win,AMD
-25.0,0.7708293091087051,expanded,loss,AMD
-25.0,0.791723734469382,expanded,loss,AMD
200.0,0.8146151457955132,core,win,AMD
-25.0,0.6607907216995597,expanded,loss,AMD
-25.0,0.61242171454198,expanded,loss,AMD
-50.0,1.6429213295238263,core,loss,AMD
-25.0,0.7107507407485629,expanded,loss,AMD
-50.0,1.1692490923323173,core,loss,AMD
-25.0,0.713825183436687,expanded,loss,AMD
-25.0,0.605429782204864,expanded,loss,AMD
100.0,0.6109212771688262,expanded,win,AMD
-50.0,1.0825429660789523,core,loss,AMD
200.0,2.5029548692260235,core,win,AMD
100.0,0.6615323059775639,expanded,win,AMD
-50.0,0.9849820793704729,core,loss,AMD
-25.0,0.7304713312862438,expanded,loss,AMD
100.0,0.7163854172186468,expanded,win,AMD
-50.0,1.1008358995324885,core,loss,AMD
100.0,0.783796150783042,expanded,win,AMD
-25.0,0.6805198834298232,expanded,loss,AMD
100.0,0.6563060537793727,expanded,win,AMD
200.0,0.8527618005269224,core,win,AMD
-50.0,0.8657664706805722,core,loss,AMD
-25.0,0.7992825252802058,expanded,loss,AMD
-25.0,0.7125499364674976,expanded,loss,AMD
-50.0,1.1351603987843835,core,loss,AMD
-50.0,2.552617359881803,core,loss,AMD
200.0,0.8006566379896738,core,win,AMD
-25.0,0.7298996560689741,expanded,loss,AMD
-50.0,0.8902403153616585,core,loss,AMD
200.0,0.8588296481818845,core,win,AMD
-50.0,0.8349854119709965,core,loss,AMD
100.0,0.7337461865904279,expanded,win,AMD
-50.0,1.4389740543928666,core,loss,AMD
200.0,2.068172712017967,core,win,AMD
100.0,0.608005406187433,expanded,win,AMD
-50.0,0.8138873863454534,core,loss,AMD
-25.0,0.6670971614761587,expanded,loss,AMD
-50.0,0.967101937206204,core,loss,AMD
-25.0,0.751080079231966,expanded,loss,AMD
-50.0,1.2982495598953467,core,loss,AMD
-25.0,0.6187300227541382,expanded,loss,AMD
100.0,0.6956145562765745,expanded,win,AMD
200.0,1.2992310307014323,core,win,AMD
200.0,0.9958150775279668,core,win,AMD
100.0,0.6394506625892873,expanded,win,AMD
-50.0,1.3614129946355598,core,loss,AMD
100.0,0.6969778540398185,expanded,win,AMD
