date,side,gap_pct,config,exit_bars,ep,K,delta,opt_entry,opt_exit,und_move,pnl_pct,pnl_dollar
2026-01-30,long,-0.634,1DTE ~45d,30,627.18,628,0.483,4.177,3.397,-0.1626,-18.68,-78.01
2026-01-30,long,-0.634,1DTE ~45d,60,627.18,628,0.483,4.177,2.72,-0.3906,-34.89,-145.76
2026-01-30,short,-0.634,0DTE ATM,15,625.67,626,0.508,3.241,2.527,-0.167,-22.05,-71.49
2026-01-30,short,-0.634,0DTE ATM,30,625.67,626,0.508,3.241,3.101,0.04,-4.33,-14.02
2026-01-30,short,-0.634,0DTE ATM,60,625.67,626,0.508,3.241,3.386,0.1574,4.45,14.44
2026-01-30,short,-0.634,1DTE ATM,15,625.67,626,0.499,4.483,3.721,-0.167,-17.0,-76.22
2026-01-30,short,-0.634,1DTE ATM,30,625.67,626,0.499,4.483,4.31,0.04,-3.86,-17.31
2026-01-30,short,-0.634,1DTE ATM,60,625.67,626,0.499,4.483,4.617,0.1574,2.99,13.39
2026-01-30,short,-0.634,0DTE ~45d,15,625.67,625,0.457,2.754,2.097,-0.167,-23.87,-65.74
2026-01-30,short,-0.634,0DTE ~45d,30,625.67,625,0.457,2.754,2.601,0.04,-5.56,-15.3
2026-01-30,short,-0.634,0DTE ~45d,60,625.67,625,0.457,2.754,2.843,0.1574,3.22,8.86
2026-01-30,short,-0.634,1DTE ~45d,15,625.67,625,0.464,3.995,3.273,-0.167,-18.07,-72.17
2026-01-30,short,-0.634,1DTE ~45d,30,625.67,625,0.464,3.995,3.813,0.04,-4.55,-18.18
2026-01-30,short,-0.634,1DTE ~45d,60,625.67,625,0.464,3.995,4.091,0.1574,2.41,9.62
2026-02-05,short,-0.988,0DTE ATM,15,598.81,599,0.501,3.042,1.024,-0.825,-66.34,-201.8
2026-02-05,short,-0.988,0DTE ATM,30,598.81,599,0.501,3.042,2.932,0.0484,-3.61,-10.99
2026-02-05,short,-0.988,0DTE ATM,60,598.81,599,0.501,3.042,4.733,0.5695,55.58,169.07
2026-02-05,short,-0.988,1DTE ATM,15,598.81,599,0.495,4.23,2.009,-0.825,-52.51,-222.11
2026-02-05,short,-0.988,1DTE ATM,30,598.81,599,0.495,4.23,4.088,0.0484,-3.34,-14.14
2026-02-05,short,-0.988,1DTE ATM,60,598.81,599,0.495,4.23,5.794,0.5695,36.99,156.46
2026-02-05,short,-0.988,0DTE ~45d,15,598.81,598,0.448,2.562,0.799,-0.825,-68.82,-176.34
2026-02-05,short,-0.988,0DTE ~45d,30,598.81,598,0.448,2.562,2.437,0.0484,-4.87,-12.48
2026-02-05,short,-0.988,0DTE ~45d,60,598.81,598,0.448,2.562,4.055,0.5695,58.25,149.25
2026-02-05,short,-0.988,1DTE ~45d,15,598.81,598,0.457,3.747,1.713,-0.825,-54.29,-203.41
2026-02-05,short,-0.988,1DTE ~45d,30,598.81,598,0.457,3.747,3.595,0.0484,-4.05,-15.16
2026-02-05,short,-0.988,1DTE ~45d,60,598.81,598,0.457,3.747,5.175,0.5695,38.11,142.79
2026-02-05,long,-0.988,0DTE ATM,15,598.97,599,0.507,3.043,5.204,0.6444,71.03,216.12
2026-02-05,long,-0.988,0DTE ATM,30,598.97,599,0.507,3.043,2.473,-0.1035,-18.74,-57.02
2026-02-05,long,-0.988,0DTE ATM,60,598.97,599,0.507,3.043,1.225,-0.596,-59.73,-181.74
2026-02-05,long,-0.988,1DTE ATM,15,598.97,599,0.511,4.353,6.364,0.6444,46.21,201.13
2026-02-05,long,-0.988,1DTE ATM,30,598.97,599,0.511,4.353,3.748,-0.1035,-13.9,-60.49
2026-02-05,long,-0.988,1DTE ATM,60,598.97,599,0.511,4.353,2.408,-0.596,-44.68,-194.48
2026-02-05,long,-0.988,0DTE ~45d,15,598.97,600,0.454,2.567,4.518,0.6444,76.0,195.12
2026-02-05,long,-0.988,0DTE ~45d,30,598.97,600,0.454,2.567,2.035,-0.1035,-20.72,-53.2
