sym,time,open,high,low,close,volume,trade_count,vwap
SPY,2026-05-06 08:12:00-04:00,729.55,729.57,729.55,729.57,200.0,4.0,729.559848
SPY,2026-05-06 08:14:00-04:00,729.33,729.4,729.22,729.22,800.0,8.0,729.32625
SPY,2026-05-06 08:15:00-04:00,728.32,728.86,728.01,728.01,1590.0,17.0,728.370881
SPY,2026-05-06 08:19:00-04:00,728.3,728.3,728.22,728.29,380.0,4.0,728.263684
SPY,2026-05-06 08:20:00-04:00,729.0,729.25,729.0,729.2,1170.0,11.0,729.069658
SPY,2026-05-06 08:21:00-04:00,729.3,729.33,729.3,729.33,295.0,4.0,729.316154
SPY,2026-05-06 08:25:00-04:00,729.53,729.53,729.53,729.53,100.0,1.0,729.53
SPY,2026-05-06 08:27:00-04:00,729.48,729.59,729.48,729.59,540.0,6.0,729.570741
SPY,2026-05-06 08:28:00-04:00,729.39,729.39,729.39,729.39,100.0,1.0,729.39
SPY,2026-05-06 08:29:00-04:00,729.49,729.49,729.49,729.49,205.0,3.0,729.49
SPY,2026-05-06 08:35:00-04:00,729.1,729.13,729.1,729.1,312.0,5.0,729.111321
SPY,2026-05-06 09:00:00-04:00,728.67,728.67,728.67,728.67,110.0,2.0,728.67
SPY,2026-05-07 08:00:00-04:00,734.69,734.69,734.61,734.61,250.0,4.0,734.6396
SPY,2026-05-07 08:13:00-04:00,735.34,735.36,735.34,735.36,200.0,2.0,735.35
SPY,2026-05-07 08:14:00-04:00,735.18,735.18,735.18,735.18,120.0,3.0,735.18
SPY,2026-05-07 08:24:00-04:00,734.79,734.79,734.79,734.79,100.0,1.0,734.79
SPY,2026-05-07 08:26:00-04:00,735.04,735.04,735.01,735.01,300.0,2.0,735.03
SPY,2026-05-07 08:27:00-04:00,735.12,735.12,735.12,735.12,40.0,1.0,735.12
SPY,2026-05-07 08:53:00-04:00,735.25,735.26,735.25,735.26,180.0,4.0,735.257333
SPY,2026-05-07 08:55:00-04:00,735.12,735.12,735.12,735.12,40.0,1.0,735.12
SPY,2026-05-07 09:02:00-04:00,734.93,734.93,734.91,734.91,150.0,3.0,734.92
SPY,2026-05-08 08:10:00-04:00,735.23,735.23,735.23,735.23,70.0,1.0,735.23
SPY,2026-05-08 08:24:00-04:00,735.05,735.05,735.05,735.05,70.0,1.0,735.05
SPY,2026-05-08 08:25:00-04:00,735.2,735.2,735.2,735.2,100.0,1.0,735.2
SPY,2026-05-08 08:31:00-04:00,735.78,735.78,735.78,735.78,210.0,3.0,735.78
SPY,2026-05-08 08:33:00-04:00,735.92,735.92,735.92,735.92,100.0,1.0,735.92
SPY,2026-05-08 08:35:00-04:00,736.57,736.57,736.57,736.57,100.0,1.0,736.57
SPY,2026-05-08 08:38:00-04:00,736.14,736.14,736.14,736.14,40.0,1.0,736.14
SPY,2026-05-08 08:46:00-04:00,735.92,735.92,735.92,735.92,66.0,1.0,735.92
SPY,2026-05-08 08:58:00-04:00,735.66,735.66,735.5,735.5,110.0,2.0,735.558182
SPY,2026-05-08 09:06:00-04:00,734.66,734.66,734.65,734.65,140.0,2.0,734.655
SPY,2026-05-08 09:10:00-04:00,734.79,734.79,734.79,734.79,40.0,1.0,734.79
SPY,2026-05-11 08:10:00-04:00,736.49,736.49,736.48,736.48,110.0,2.0,736.483636
SPY,2026-05-11 08:28:00-04:00,736.63,736.63,736.63,736.63,101.0,2.0,736.63
SPY,2026-05-11 08:42:00-04:00,736.59,736.59,736.56,736.56,200.0,2.0,736.575
SPY,2026-05-11 08:49:00-04:00,736.12,736.22,736.12,736.16,550.0,7.0,736.170364
SPY,2026-05-12 08:00:00-04:00,736.32,736.34,736.32,736.34,200.0,2.0,736.33
SPY,2026-05-12 08:06:00-04:00,735.85,735.85,735.85,735.85,100.0,2.0,735.85
SPY,2026-05-12 08:23:00-04:00,735.94,735.94,735.94,735.94,100.0,1.0,735.94
SPY,2026-05-12 08:28:00-04:00,735.97,735.97,735.94,735.94,321.0,4.0,735.9575
SPY,2026-05-12 08:30:00-04:00,736.1,736.1,736.1,736.1,100.0,1.0,736.1
SPY,2026-05-12 08:31:00-04:00,735.58,735.58,735.58,735.58,100.0,1.0,735.58
SPY,2026-05-12 08:32:00-04:00,735.42,735.42,735.42,735.42,102.0,3.0,735.42
SPY,2026-05-12 08:33:00-04:00,736.1,736.1,736.1,736.1,138.0,2.0,736.1
SPY,2026-05-12 08:34:00-04:00,736.22,736.22,736.22,736.22,100.0,1.0,736.22
SPY,2026-05-12 08:37:00-04:00,736.79,736.79,736.79,736.79,67.0,1.0,736.79
SPY,2026-05-12 08:38:00-04:00,736.44,736.84,736.44,736.84,174.0,3.0,736.748046
SPY,2026-05-12 08:39:00-04:00,736.92,736.99,736.92,736.99,127.0,2.0,736.956929
SPY,2026-05-12 08:48:00-04:00,737.16,737.19,737.16,737.19,200.0,2.0,737.175
SPY,2026-05-12 08:51:00-04:00,737.24,737.24,737.24,737.24,50.0,1.0,737.24
SPY,2026-05-12 08:53:00-04:00,737.35,737.35,737.32,737.32,200.0,2.0,737.335
SPY,2026-05-12 09:03:00-04:00,737.43,737.43,737.43,737.43,230.0,2.0,737.43
SPY,2026-05-12 09:18:00-04:00,736.85,736.85,736.85,736.85,40.0,1.0,736.85
SPY,2026-05-13 08:21:00-04:00,738.82,738.82,738.82,738.82,70.0,1.0,738.82
SPY,2026-05-13 08:30:00-04:00,738.56,738.56,737.92,737.99,2760.0,23.0,738.287473
SPY,2026-05-13 08:31:00-04:00,737.91,737.91,737.69,737.82,351.0,4.0,737.777265
SPY,2026-05-13 08:32:00-04:00,738.2,738.2,737.64,737.88,831.0,11.0,737.794898
SPY,2026-05-13 08:33:00-04:00,737.75,737.93,737.73,737.93,420.0,4.0,737.79
SPY,2026-05-13 08:34:00-04:00,738.08,738.08,737.91,737.91,300.0,3.0,738.023333
SPY,2026-05-13 08:35:00-04:00,738.11,738.11,738.09,738.09,140.0,3.0,738.095714
SPY,2026-05-13 08:36:00-04:00,737.96,737.96,737.96,737.96,100.0,1.0,737.96
SPY,2026-05-13 08:37:00-04:00,737.79,737.79,737.54,737.54,610.0,9.0,737.649404
SPY,2026-05-13 08:38:00-04:00,737.53,737.73,737.49,737.49,940.0,10.0,737.62044
SPY,2026-05-13 08:39:00-04:00,737.5,737.65,737.49,737.65,640.0,7.0,737.539375
SPY,2026-05-13 08:40:00-04:00,737.41,737.44,737.2,737.23,680.0,7.0,737.309118
