date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2026-04-07,QQQ,A,short,-0.496,582.31,0.4499321667153048,0.0154556851161807,0.4499321667153048,0.11334169085196577,0.5031684154488074,0.15970874620048836,True,True,False,
2026-04-09,QQQ,A,long,0.003,605.36,0.18996960486321812,0.01651909607506653,0.38489493854896933,0.03454142989296202,0.8259548037531386,0.03454142989296202,True,True,True,
2026-04-10,QQQ,A,long,0.317,612.16,0.12250065342394557,0.07024307370621242,0.17152378463148005,0.09304756926292523,0.20092786199686655,0.09304756926292523,False,False,False,
2026-04-14,QQQ,A,long,0.473,622.19,0.07714685224769033,0.10446969575211605,0.2153682958581652,0.10446969575211605,0.30858740899081616,0.10446969575211605,True,False,False,
2026-04-15,QQQ,A,long,0.132,630.71,0.182334194796337,0.07134816318118398,0.23941272534128058,0.07134816318118398,0.38369456644098854,0.07134816318118398,True,False,False,
2026-04-16,QQQ,A,long,0.372,640.15,0.08123096149339715,0.06404748886979117,0.23744434898070482,0.10153870186674642,0.2733734281027884,0.10153870186674642,True,False,False,
2026-04-17,QQQ,A,long,0.859,648.44,0.1495897847140697,0.05089137005737476,0.15113194744307945,0.05089137005737476,0.2251557584356182,0.05089137005737476,False,False,False,
2026-04-22,QQQ,A,long,0.985,650.31,0.20607095077732263,0.12916916547491478,0.399809321708112,0.12916916547491478,0.4413279820393358,0.12916916547491478,True,False,False,
2026-04-23,QQQ,A,short,-0.212,652.79,0.05974356224819412,0.17003936947563744,0.05974356224819412,0.22059161445488668,0.05974356224819412,0.4748847255625887,False,False,False,
2026-04-24,QQQ,A,long,1.132,661.28,0.06048874909266533,0.08922090491167406,0.3258831357367489,0.08922090491167406,0.3258831357367489,0.08922090491167406,True,False,False,
2026-04-28,QQQ,A,short,-0.967,654.68,0.12525203152684308,0.2428667440581707,0.12525203152684308,0.2657787010447866,0.12525203152684308,0.2657787010447866,False,False,False,
2026-04-29,QQQ,A,long,0.199,659.53,0.25775931345049435,0.027125377162524635,0.25775931345049435,0.027125377162524635,0.25775931345049435,0.09249010659105934,True,False,False,
2026-05-01,QQQ,A,long,0.178,673.94,0.24334510490547917,0.029661394189404187,0.27005371398046357,0.029661394189404187,0.27005371398046357,0.286375641748533,True,False,False,
2026-05-05,QQQ,A,long,0.822,680.03,0.11750952163876105,0.057350411011276914,0.2058732702968953,0.14999338264488066,0.22793112068586213,0.14999338264488066,False,False,False,
2026-05-06,QQQ,A,long,0.919,690.65,0.13610367045537602,0.028958227756451425,0.16795772098747097,0.028958227756451425,0.2635198725838051,0.028958227756451425,True,False,False,
2026-05-07,QQQ,A,long,0.164,698.46,0.24482432780687838,0.020044097013427593,0.3063883400624211,0.020044097013427593,0.398018497838097,0.020044097013427593,True,False,False,
2026-05-08,QQQ,A,long,0.798,705.27,0.07940221475464136,0.09074538829100719,0.21410240049909834,0.09074538829100719,0.23962454095595367,0.09925276844328156,False,False,False,
2026-05-12,QQQ,A,short,-0.695,705.3,0.3090883312065717,0.10350205586275601,0.3331915496951523,0.10350205586275601,0.8251807741386554,0.10350205586275601,True,True,True,
