sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-17 08:28:00-05:00,613.42,613.42,613.42,613.42,50.0,1.0,613.42
QQQ,2025-12-17 08:32:00-05:00,613.6,613.6,613.59,613.59,160.0,3.0,613.593333
QQQ,2025-12-17 08:37:00-05:00,613.28,613.28,613.28,613.28,50.0,1.0,613.28
QQQ,2025-12-17 08:56:00-05:00,613.84,613.84,613.84,613.84,40.0,1.0,613.84
QQQ,2025-12-17 08:58:00-05:00,614.08,614.08,614.08,614.08,40.0,1.0,614.08
QQQ,2025-12-17 08:59:00-05:00,614.1,614.1,614.1,614.1,40.0,1.0,614.1
QQQ,2025-12-17 09:12:00-05:00,613.66,613.66,613.58,613.58,180.0,3.0,613.606667
QQQ,2025-12-17 09:20:00-05:00,613.58,613.58,613.58,613.58,50.0,1.0,613.58
QQQ,2025-12-17 09:25:00-05:00,613.4,613.4,613.4,613.4,200.0,1.0,613.4
QQQ,2025-12-17 09:28:00-05:00,613.24,613.24,613.24,613.24,200.0,1.0,613.24
QQQ,2025-12-18 08:00:00-05:00,605.63,605.63,605.63,605.63,40.0,1.0,605.63
QQQ,2025-12-18 08:16:00-05:00,605.97,605.97,605.97,605.97,100.0,1.0,605.97
QQQ,2025-12-18 08:32:00-05:00,607.25,607.25,607.25,607.25,40.0,1.0,607.25
QQQ,2025-12-18 08:33:00-05:00,607.41,607.47,607.3,607.47,130.0,3.0,607.386154
QQQ,2025-12-18 08:34:00-05:00,607.51,607.51,607.51,607.51,110.0,3.0,607.51
QQQ,2025-12-18 08:37:00-05:00,607.67,607.67,607.67,607.67,70.0,2.0,607.67
QQQ,2025-12-18 08:38:00-05:00,607.84,608.36,607.84,608.35,410.0,5.0,608.150488
QQQ,2025-12-18 08:40:00-05:00,608.74,608.95,608.74,608.95,170.0,4.0,608.820769
QQQ,2025-12-18 08:42:00-05:00,608.78,608.94,608.78,608.94,100.0,2.0,608.86
QQQ,2025-12-18 08:44:00-05:00,609.07,609.19,609.07,609.19,90.0,2.0,609.136667
QQQ,2025-12-18 08:53:00-05:00,608.56,608.56,608.56,608.56,175.0,2.0,608.56
QQQ,2025-12-18 09:02:00-05:00,608.98,608.99,608.98,608.99,450.0,4.0,608.984444
