symbol,date,time,entry,mfe,LONG_SCORE,bar1_rvol,bar1_body_pct,vwap_slope,is_runner
MRNA,2025-01-23,14:30:00,39.33,0.17,3,15.8,1.01,-0.255,0
MRNA,2025-01-24,14:33:00,45.36,0.02,3,3.7,1.45,1.517,0
MRNA,2025-05-20,15:13:00,28.66,5.72,3,3.6,1.26,0.401,1
MRNA,2025-05-20,15:14:00,29.24,3.63,3,2.5,2.12,0.683,1
VKTX,2025-01-22,14:30:00,34.2,2.08,4,17.3,1.46,1.052,1
VKTX,2025-01-22,14:31:00,34.4,1.47,3,5.4,1.03,1.436,0
HIMS,2025-01-08,14:35:00,28.28,0.07,3,4.8,1.01,0.406,0
HIMS,2025-01-27,14:30:00,29.95,2.77,3,17.3,1.6,-0.089,1
HIMS,2025-01-30,14:30:00,32.97,2.09,3,16.8,0.78,0.352,1
HIMS,2025-01-30,14:31:00,33.07,1.78,3,9.2,1.49,0.976,0
HIMS,2025-02-03,14:30:00,36.57,1.8,3,18.9,2.71,-0.121,0
HIMS,2025-02-19,14:30:00,60.4,16.72,4,17.7,1.21,0.939,1
HIMS,2025-02-19,14:36:00,62.42,12.95,3,2.3,1.64,3.433,1
HIMS,2025-02-25,14:38:00,43.0,0.12,3,4.4,1.28,0.969,0
HIMS,2025-02-26,14:30:00,42.0,4.88,3,17.4,2.58,0.238,1
HIMS,2025-02-26,14:33:00,42.38,3.95,3,3.0,1.55,1.349,1
HIMS,2025-02-26,14:34:00,42.7,3.25,3,2.8,2.53,1.536,1
HIMS,2025-02-27,14:31:00,44.16,1.15,3,6.7,0.98,0.607,0
HIMS,2025-03-04,14:30:00,39.25,1.39,3,18.1,2.47,0.408,0
TEM,2025-01-08,14:30:00,39.53,3.21,4,16.4,1.07,0.918,1
TEM,2025-01-21,14:30:00,43.73,3.48,4,12.7,1.51,0.576,1
TEM,2025-01-29,14:30:00,53.93,4.69,4,18.6,3.35,1.575,1
TEM,2025-01-29,14:36:00,56.01,0.8,3,2.9,1.72,4.771,0
TEM,2025-02-05,14:31:00,66.59,5.05,4,9.1,1.95,0.958,1
TEM,2025-02-07,14:31:00,68.85,1.56,3,7.9,2.03,0.723,0
TEM,2025-02-11,14:30:00,69.34,13.45,3,15.3,0.59,0.432,1
TEM,2025-02-11,14:31:00,70.22,12.03,3,5.3,1.97,0.706,1
TEM,2025-02-11,14:32:00,71.86,9.48,3,7.5,1.28,1.465,1
TEM,2025-02-11,14:37:00,75.3,4.47,3,4.1,1.36,5.439,1
TEM,2025-02-12,14:35:00,72.58,0.17,3,3.3,1.22,0.733,0
TEM,2025-02-13,14:31:00,79.82,1.11,3,5.4,2.17,0.49,0
TEM,2025-02-24,14:33:00,73.24,1.31,3,3.9,1.31,0.286,0
TEM,2025-02-24,14:34:00,73.79,0.03,3,4.8,1.4,0.76,0
TEM,2025-02-28,15:21:00,55.62,1.96,3,2.4,1.13,0.286,0
TEM,2025-02-28,15:22:00,55.89,1.47,3,2.5,1.2,0.38,0
JD,2025-01-02,14:30:00,34.51,0.91,3,18.7,0.41,0.281,0
BILI,2025-02-20,14:34:00,24.14,0.62,3,2.4,1.2,3.378,0
TME,2025-02-06,14:30:00,12.13,0.08,3,10.0,0.58,2.497,0
FUTU,2025-01-17,14:30:00,82.66,5.23,3,15.6,1.67,1.068,1
FUTU,2025-02-04,14:30:00,98.36,0.14,4,15.7,1.57,0.509,0
FUTU,2025-02-07,14:30:00,104.18,1.36,4,15.6,1.8,0.46,0
FUTU,2025-02-11,14:32:00,106.7,1.22,3,7.8,1.12,0.5,0
IQ,2025-01-17,14:33:00,1.94,2.84,3,7.6,0.92,1.257,1
IQ,2025-01-29,14:30:00,2.3,0.01,3,17.7,1.35,0.184,0
CELH,2025-02-19,14:30:00,25.22,2.05,4,16.2,1.91,0.272,1
APP,2025-02-07,14:30:00,392.34,0.33,3,15.3,0.78,0.585,0
APP,2025-02-13,14:30:00,513.68,2.23,4,16.7,1.28,1.525,1
APP,2025-02-13,14:31:00,517.8,1.42,3,6.1,1.24,2.151,0
APP,2025-03-07,14:30:00,261.81,6.41,3,17.5,1.08,0.045,1
